TYPE;Model;BETA;J_adv-ratio;V_mph;Efficiency;Ct;Cp;PWR_Hp;Torque_In-Lbf;Thrust_Lbf;DIAMETER_IN;Ct*;Cp*
APC MR;APC MR;0.45;0.46;13.1;0.6715;0.0523;0.0359;0.008;0.164;0.15;10;0.05037139;0.031873373
APC MR;APC MR;0.45;0.49;13.8;0.6803;0.0476;0.034;0.007;0.155;0.137;10;0.044532561;0.029475638
APC MR;APC MR;0.45;0.51;14.5;0.6864;0.0428;0.0317;0.007;0.145;0.123;10;0.040519733;0.027753648
APC MR;APC MR;0.45;0.53;15.2;0.689;0.0378;0.0293;0.006;0.134;0.108;10;0.036411863;0.025932858
APC MR;APC MR;0.45;0.56;15.8;0.6863;0.0327;0.0266;0.006;0.121;0.094;10;0.030074064;0.023016423
APC MR;APC MR;0.45;0.58;16.5;0.6761;0.0275;0.0237;0.005;0.108;0.079;10;0.025733008;0.020948633
APC MR;APC MR;0.45;0.61;17.2;0.6544;0.0222;0.0205;0.004;0.094;0.064;10;0.019050164;0.017661698
APC MR;APC MR;0.45;0.63;17.9;0.6099;0.0167;0.0173;0.004;0.079;0.048;10;0.014482234;0.015346908
APC MR;APC MR;0.45;0.65;18.6;0.523;0.0113;0.0141;0.003;0.064;0.032;10;0.009825321;0.012933318
APC MR;APC MR;0.45;0.68;19.3;0.3552;0.0057;0.0108;0.002;0.05;0.016;10;0.00267532;0.009127682
APC MR;APC MR;0.45;0.7;20;0.0018;0;0.0076;0.002;0.035;0;10;-0.00219963;0.006467093
APC MR;APC MR;0.45;0;0;0;0.1123;0.0442;0.023;0.358;0.572;10;0.110371465;0.040801743
APC MR;APC MR;0.45;0.02;0.9;0.0595;0.1109;0.0446;0.023;0.362;0.565;10;0.109002636;0.041500353
APC MR;APC MR;0.45;0.05;1.8;0.1163;0.1092;0.0449;0.023;0.364;0.557;10;0.106725111;0.042363018
APC MR;APC MR;0.45;0.07;2.7;0.1705;0.1074;0.0452;0.023;0.366;0.547;10;0.105058714;0.042814628
APC MR;APC MR;0.45;0.1;3.6;0.222;0.1053;0.0454;0.023;0.368;0.537;10;0.10233957;0.043306793
APC MR;APC MR;0.45;0.12;4.5;0.2709;0.1031;0.0455;0.023;0.369;0.525;10;0.100381916;0.043511403
APC MR;APC MR;0.45;0.14;5.4;0.3171;0.1006;0.0455;0.023;0.369;0.513;10;0.098309526;0.043617213
APC MR;APC MR;0.45;0.17;6.3;0.3606;0.098;0.0455;0.023;0.369;0.499;10;0.094988022;0.043590678
APC MR;APC MR;0.45;0.19;7.2;0.4012;0.0951;0.0453;0.023;0.368;0.485;10;0.092633213;0.043449488
APC MR;APC MR;0.45;0.22;8.1;0.4391;0.0921;0.0451;0.023;0.366;0.469;10;0.088892814;0.043052453
APC MR;APC MR;0.45;0.24;9.1;0.4742;0.0888;0.0448;0.023;0.363;0.453;10;0.086261896;0.042664263
APC MR;APC MR;0.45;0.26;10;0.5065;0.0853;0.0443;0.023;0.359;0.435;10;0.083522303;0.042177273
APC MR;APC MR;0.45;0.29;10.9;0.5359;0.0817;0.0437;0.023;0.355;0.416;10;0.079211356;0.041261538
APC MR;APC MR;0.45;0.31;11.8;0.5624;0.0779;0.0431;0.022;0.349;0.397;10;0.076204492;0.040527548
APC MR;APC MR;0.45;0.33;12.7;0.5862;0.074;0.0423;0.022;0.343;0.377;10;0.073092487;0.039694758
APC MR;APC MR;0.45;0.36;13.6;0.6074;0.07;0.0413;0.021;0.335;0.357;10;0.06822955;0.038260323
APC MR;APC MR;0.45;0.38;14.5;0.6261;0.0659;0.0402;0.021;0.326;0.336;10;0.06485911;0.037180533
APC MR;APC MR;0.45;0.41;15.4;0.6424;0.0617;0.039;0.02;0.316;0.314;10;0.059613255;0.035375598
APC MR;APC MR;0.45;0.43;16.3;0.6562;0.0573;0.0375;0.019;0.305;0.292;10;0.055990694;0.034048808
APC MR;APC MR;0.45;0.45;17.2;0.6677;0.0527;0.0359;0.018;0.291;0.269;10;0.052269051;0.032623218
APC MR;APC MR;0.45;0.48;18.1;0.6768;0.0481;0.034;0.017;0.275;0.245;10;0.046503018;0.030299583
APC MR;APC MR;0.45;0.5;19;0.6833;0.0433;0.0318;0.016;0.258;0.221;10;0.04253809;0.028626993
APC MR;APC MR;0.45;0.53;19.9;0.6864;0.0383;0.0293;0.015;0.238;0.195;10;0.036411863;0.025932858
APC MR;APC MR;0.45;0.55;20.8;0.6845;0.0332;0.0266;0.014;0.216;0.169;10;0.032209961;0.024013268
APC MR;APC MR;0.45;0.57;21.7;0.6755;0.0279;0.0237;0.012;0.192;0.142;10;0.027915038;0.021994878
APC MR;APC MR;0.45;0.6;22.6;0.6552;0.0225;0.0205;0.011;0.166;0.115;10;0.021300445;0.018782043
APC MR;APC MR;0.45;0.62;23.5;0.6134;0.017;0.0172;0.009;0.14;0.087;10;0.016777385;0.016516653
APC MR;APC MR;0.45;0.65;24.4;0.5303;0.0114;0.0139;0.007;0.113;0.058;10;0.009825321;0.012933318
APC MR;APC MR;0.45;0.67;25.3;0.3642;0.0057;0.0105;0.005;0.086;0.029;10;0.005080436;0.010420928
APC MR;APC MR;0.45;0.69;26.3;0.0043;0;0.0072;0.004;0.058;0;10;0.000248589;0.007809738
APC MR;APC MR;0.45;0;0;0;0.1125;0.0441;0.044;0.559;0.896;10;0.110371465;0.040801743
APC MR;APC MR;0.45;0.02;1.1;0.0593;0.1111;0.0445;0.045;0.564;0.885;10;0.109002636;0.041500353
APC MR;APC MR;0.45;0.05;2.2;0.116;0.1095;0.0448;0.045;0.568;0.872;10;0.106725111;0.042363018
APC MR;APC MR;0.45;0.07;3.4;0.1701;0.1076;0.0451;0.045;0.571;0.857;10;0.105058714;0.042814628
APC MR;APC MR;0.45;0.09;4.5;0.2216;0.1056;0.0452;0.045;0.573;0.841;10;0.103275056;0.043167438
APC MR;APC MR;0.45;0.12;5.6;0.2704;0.1033;0.0453;0.046;0.575;0.823;10;0.100381916;0.043511403
APC MR;APC MR;0.45;0.14;6.7;0.3166;0.1008;0.0454;0.046;0.575;0.803;10;0.098309526;0.043617213
APC MR;APC MR;0.45;0.17;7.9;0.3601;0.0982;0.0453;0.046;0.574;0.782;10;0.094988022;0.043590678
APC MR;APC MR;0.45;0.19;9;0.4009;0.0953;0.0451;0.045;0.572;0.759;10;0.092633213;0.043449488
APC MR;APC MR;0.45;0.21;10.1;0.439;0.0922;0.0449;0.045;0.569;0.735;10;0.090167203;0.043209498
APC MR;APC MR;0.45;0.24;11.2;0.4743;0.089;0.0445;0.045;0.565;0.709;10;0.086261896;0.042664263
APC MR;APC MR;0.45;0.26;12.4;0.5069;0.0855;0.0441;0.044;0.559;0.681;10;0.083522303;0.042177273
APC MR;APC MR;0.45;0.28;13.5;0.5366;0.0819;0.0435;0.044;0.551;0.652;10;0.080675045;0.041591483
APC MR;APC MR;0.45;0.31;14.6;0.5636;0.0781;0.0428;0.043;0.542;0.622;10;0.076204492;0.040527548
APC MR;APC MR;0.45;0.33;15.7;0.5878;0.0742;0.042;0.042;0.532;0.591;10;0.073092487;0.039694758
APC MR;APC MR;0.45;0.36;16.9;0.6096;0.0702;0.041;0.041;0.52;0.559;10;0.06822955;0.038260323
APC MR;APC MR;0.45;0.38;18;0.6288;0.066;0.0399;0.04;0.506;0.526;10;0.06485911;0.037180533
APC MR;APC MR;0.45;0.4;19.1;0.6455;0.0618;0.0386;0.039;0.49;0.492;10;0.061387065;0.036001943
APC MR;APC MR;0.45;0.43;20.2;0.6599;0.0574;0.0372;0.037;0.471;0.457;10;0.055990694;0.034048808
APC MR;APC MR;0.45;0.45;21.4;0.6719;0.0528;0.0355;0.036;0.45;0.421;10;0.052269051;0.032623218
APC MR;APC MR;0.45;0.47;22.5;0.6815;0.0481;0.0335;0.034;0.425;0.383;10;0.048449337;0.031098828
APC MR;APC MR;0.45;0.5;23.6;0.6884;0.0433;0.0313;0.032;0.397;0.345;10;0.04253809;0.028626993
APC MR;APC MR;0.45;0.52;24.7;0.6916;0.0383;0.0289;0.029;0.366;0.305;10;0.038477615;0.026855603
APC MR;APC MR;0.45;0.55;25.9;0.69;0.0331;0.0262;0.026;0.332;0.264;10;0.032209961;0.024013268
APC MR;APC MR;0.45;0.57;27;0.6814;0.0278;0.0232;0.023;0.295;0.221;10;0.027915038;0.021994878
APC MR;APC MR;0.45;0.59;28.1;0.661;0.0224;0.0201;0.02;0.255;0.179;10;0.023528102;0.019877688
APC MR;APC MR;0.45;0.62;29.2;0.6195;0.0169;0.0169;0.017;0.214;0.135;10;0.016777385;0.016516653
APC MR;APC MR;0.45;0.64;30.4;0.5368;0.0114;0.0136;0.014;0.172;0.091;10;0.012164837;0.014152463
APC MR;APC MR;0.45;0.66;31.5;0.3698;0.0057;0.0103;0.01;0.13;0.046;10;0.007463812;0.011689473
APC MR;APC MR;0.45;0.69;32.6;0.0026;0;0.0071;0.007;0.089;0;10;0.000248589;0.007809738
APC MR;APC MR;0.45;0;0;0;0.1126;0.0432;0.075;0.789;1.292;10;0.110371465;0.040801743
APC MR;APC MR;0.45;0.02;1.3;0.0601;0.1112;0.0436;0.076;0.796;1.275;10;0.109002636;0.041500353
APC MR;APC MR;0.45;0.05;2.7;0.1174;0.1096;0.044;0.076;0.803;1.257;10;0.106725111;0.042363018
APC MR;APC MR;0.45;0.07;4;0.172;0.1078;0.0443;0.077;0.808;1.236;10;0.105058714;0.042814628
APC MR;APC MR;0.45;0.09;5.4;0.224;0.1057;0.0445;0.077;0.812;1.213;10;0.103275056;0.043167438
APC MR;APC MR;0.45;0.12;6.7;0.2734;0.1035;0.0446;0.078;0.814;1.187;10;0.100381916;0.043511403
APC MR;APC MR;0.45;0.14;8;0.3201;0.1011;0.0446;0.078;0.815;1.159;10;0.098309526;0.043617213
APC MR;APC MR;0.45;0.16;9.4;0.3641;0.0984;0.0446;0.077;0.814;1.129;10;0.096123411;0.043624223
APC MR;APC MR;0.45;0.19;10.7;0.4055;0.0956;0.0444;0.077;0.811;1.096;10;0.092633213;0.043449488
APC MR;APC MR;0.45;0.21;12.1;0.4443;0.0925;0.0442;0.077;0.806;1.061;10;0.090167203;0.043209498
