TYPE;Model;BETA;J_adv-ratio;V_mph;Efficiency;Ct;Cp;PWR_Hp;Torque_In-Lbf;Thrust_Lbf;DIAMETER_IN;Ct*;Cp*
APC MR;APC MR;0.409090909;0.14;2.9;0.3163;0.0926;0.0403;0.004;0.132;0.173;11;0.090236934;0.038565269
APC MR;APC MR;0.409090909;0.16;3.4;0.3592;0.09;0.0403;0.004;0.132;0.168;11;0.088004976;0.038510514
APC MR;APC MR;0.409090909;0.18;3.8;0.3992;0.0872;0.0401;0.004;0.131;0.163;11;0.08565419;0.03835696
APC MR;APC MR;0.409090909;0.21;4.3;0.4364;0.0843;0.0399;0.004;0.13;0.157;11;0.081907417;0.037941378
APC MR;APC MR;0.409090909;0.23;4.8;0.4707;0.0812;0.0396;0.004;0.129;0.151;11;0.079263979;0.037540823
APC MR;APC MR;0.409090909;0.25;5.3;0.5021;0.0779;0.0392;0.004;0.128;0.145;11;0.076505248;0.037041469
APC MR;APC MR;0.409090909;0.28;5.7;0.5305;0.0745;0.0387;0.004;0.127;0.139;11;0.072153186;0.036107187
APC MR;APC MR;0.409090909;0.3;6.2;0.5562;0.0711;0.0382;0.004;0.125;0.133;11;0.069110641;0.035360832
APC MR;APC MR;0.409090909;0.32;6.7;0.5792;0.0675;0.0375;0.004;0.122;0.126;11;0.065956337;0.034515678
APC MR;APC MR;0.409090909;0.34;7.2;0.5997;0.0638;0.0367;0.004;0.12;0.119;11;0.062691284;0.033571723
APC MR;APC MR;0.409090909;0.37;7.7;0.6177;0.06;0.0357;0.004;0.117;0.112;11;0.057588261;0.031970542
APC MR;APC MR;0.409090909;0.39;8.1;0.6333;0.0561;0.0346;0.004;0.113;0.105;11;0.054050755;0.030779587
APC MR;APC MR;0.409090909;0.41;8.6;0.6465;0.0521;0.0333;0.003;0.109;0.097;11;0.050406036;0.029489832
APC MR;APC MR;0.409090909;0.44;9.1;0.6573;0.0479;0.0318;0.003;0.104;0.089;11;0.04474014;0.027369951
APC MR;APC MR;0.409090909;0.46;9.6;0.6655;0.0436;0.0301;0.003;0.098;0.081;11;0.040831805;0.025833196
APC MR;APC MR;0.409090909;0.48;10.1;0.6708;0.0392;0.0282;0.003;0.092;0.073;11;0.03681979;0.024197642
APC MR;APC MR;0.409090909;0.51;10.5;0.6721;0.0347;0.0261;0.003;0.085;0.065;11;0.030609579;0.02155906
APC MR;APC MR;0.409090909;0.53;11;0.6678;0.0301;0.0238;0.002;0.078;0.056;11;0.026342785;0.019676505
APC MR;APC MR;0.409090909;0.55;11.5;0.6552;0.0253;0.0213;0.002;0.07;0.047;11;0.021975846;0.017695151
APC MR;APC MR;0.409090909;0.57;12;0.6288;0.0205;0.0187;0.002;0.061;0.038;11;0.017509773;0.015614996
APC MR;APC MR;0.409090909;0.6;12.4;0.5794;0.0155;0.016;0.002;0.052;0.029;11;0.010626996;0.012309514
APC MR;APC MR;0.409090909;0.62;12.9;0.4895;0.0104;0.0132;0.001;0.043;0.019;11;0.005917505;0.00998236
APC MR;APC MR;0.409090909;0.64;13.4;0.3246;0.0052;0.0104;0.001;0.034;0.01;11;0.001112415;0.007556405
APC MR;APC MR;0.409090909;0.67;13.9;0.0031;0;0.0076;0.001;0.025;0;11;-0.006272261;0.003732223
APC MR;APC MR;0.409090909;0;0;0;0.1041;0.0391;0.014;0.287;0.437;11;0.102448629;0.036182151
APC MR;APC MR;0.409090909;0.02;0.7;0.059;0.1025;0.0394;0.014;0.289;0.43;11;0.101076744;0.036818996
APC MR;APC MR;0.409090909;0.05;1.4;0.1153;0.1008;0.0396;0.014;0.291;0.423;11;0.098783174;0.037589014
APC MR;APC MR;0.409090909;0.07;2.1;0.1689;0.0989;0.0398;0.014;0.292;0.415;11;0.097098439;0.03797886
APC MR;APC MR;0.409090909;0.09;2.8;0.2199;0.0968;0.0399;0.014;0.293;0.406;11;0.095290331;0.038269905
APC MR;APC MR;0.409090909;0.11;3.5;0.268;0.0945;0.0399;0.014;0.293;0.397;11;0.093359861;0.038462151
APC MR;APC MR;0.409090909;0.14;4.2;0.3134;0.0921;0.0399;0.014;0.293;0.387;11;0.090236934;0.038565269
APC MR;APC MR;0.409090909;0.16;5;0.356;0.0895;0.0398;0.014;0.293;0.376;11;0.088004976;0.038510514
APC MR;APC MR;0.409090909;0.18;5.7;0.3958;0.0867;0.0397;0.014;0.292;0.364;11;0.08565419;0.03835696
APC MR;APC MR;0.409090909;0.2;6.4;0.4328;0.0838;0.0395;0.014;0.29;0.352;11;0.083185585;0.038104605
APC MR;APC MR;0.409090909;0.23;7.1;0.4669;0.0807;0.0392;0.014;0.288;0.339;11;0.079263979;0.037540823
APC MR;APC MR;0.409090909;0.25;7.8;0.4981;0.0775;0.0388;0.014;0.285;0.325;11;0.076505248;0.037041469
APC MR;APC MR;0.409090909;0.27;8.5;0.5264;0.0741;0.0383;0.013;0.281;0.311;11;0.073632234;0.036443314
APC MR;APC MR;0.409090909;0.29;9.2;0.552;0.0707;0.0377;0.013;0.277;0.297;11;0.070645946;0.03574636
APC MR;APC MR;0.409090909;0.32;9.9;0.5749;0.0671;0.037;0.013;0.272;0.282;11;0.065956337;0.034515678
APC MR;APC MR;0.409090909;0.34;10.6;0.5953;0.0634;0.0362;0.013;0.266;0.266;11;0.062691284;0.033571723
APC MR;APC MR;0.409090909;0.36;11.3;0.6133;0.0596;0.0352;0.012;0.259;0.25;11;0.059316493;0.032528969
APC MR;APC MR;0.409090909;0.38;12;0.6288;0.0557;0.0341;0.012;0.251;0.234;11;0.055832973;0.031387414
APC MR;APC MR;0.409090909;0.41;12.7;0.6418;0.0516;0.0328;0.011;0.241;0.217;11;0.050406036;0.029489832
APC MR;APC MR;0.409090909;0.43;13.4;0.6525;0.0475;0.0313;0.011;0.23;0.199;11;0.046655113;0.028101278
APC MR;APC MR;0.409090909;0.45;14.2;0.6609;0.0432;0.0296;0.01;0.218;0.181;11;0.042798995;0.026613923
APC MR;APC MR;0.409090909;0.48;14.9;0.6662;0.0388;0.0277;0.01;0.203;0.163;11;0.03681979;0.024197642
APC MR;APC MR;0.409090909;0.5;15.6;0.6676;0.0342;0.0256;0.009;0.188;0.144;11;0.032705106;0.022463287
APC MR;APC MR;0.409090909;0.52;16.3;0.6634;0.0296;0.0232;0.008;0.171;0.124;11;0.028488763;0.020630132
APC MR;APC MR;0.409090909;0.54;17;0.6513;0.0249;0.0207;0.007;0.152;0.104;11;0.02417177;0.018698178
APC MR;APC MR;0.409090909;0.57;17.7;0.6262;0.02;0.0181;0.006;0.133;0.084;11;0.017509773;0.015614996
APC MR;APC MR;0.409090909;0.59;18.4;0.5779;0.0151;0.0154;0.005;0.113;0.064;11;0.012945576;0.013436042
APC MR;APC MR;0.409090909;0.61;19.1;0.4895;0.0102;0.0127;0.004;0.093;0.043;11;0.008284264;0.011158287
APC MR;APC MR;0.409090909;0.63;19.8;0.3233;0.005;0.0099;0.003;0.073;0.021;11;0.003526847;0.008781732
APC MR;APC MR;0.409090909;0.66;20.5;0.0056;0.0001;0.0072;0.003;0.053;0;11;-0.003787265;0.005031651
APC MR;APC MR;0.409090909;0;0;0;0.1043;0.0392;0.032;0.512;0.778;11;0.102448629;0.036182151
APC MR;APC MR;0.409090909;0.02;0.9;0.058;0.1027;0.0394;0.033;0.515;0.766;11;0.101076744;0.036818996
APC MR;APC MR;0.409090909;0.04;1.9;0.1135;0.1009;0.0396;0.033;0.518;0.753;11;0.099578961;0.037357042
APC MR;APC MR;0.409090909;0.07;2.8;0.1664;0.099;0.0398;0.033;0.519;0.739;11;0.097098439;0.03797886
APC MR;APC MR;0.409090909;0.09;3.7;0.2167;0.0969;0.0399;0.033;0.521;0.723;11;0.095290331;0.038269905
APC MR;APC MR;0.409090909;0.11;4.6;0.2644;0.0947;0.0399;0.033;0.521;0.707;11;0.093359861;0.038462151
APC MR;APC MR;0.409090909;0.13;5.6;0.3093;0.0923;0.0399;0.033;0.521;0.689;11;0.091308038;0.038555596
APC MR;APC MR;0.409090909;0.16;6.5;0.3516;0.0897;0.0398;0.033;0.52;0.669;11;0.088004976;0.038510514
APC MR;APC MR;0.409090909;0.18;7.4;0.3911;0.087;0.0396;0.033;0.518;0.649;11;0.08565419;0.03835696
APC MR;APC MR;0.409090909;0.2;8.4;0.4279;0.0841;0.0394;0.033;0.515;0.627;11;0.083185585;0.038104605
APC MR;APC MR;0.409090909;0.22;9.3;0.4619;0.081;0.0391;0.032;0.511;0.605;11;0.080600173;0.037753451
APC MR;APC MR;0.409090909;0.25;10.2;0.4931;0.0778;0.0387;0.032;0.505;0.581;11;0.076505248;0.037041469
APC MR;APC MR;0.409090909;0.27;11.1;0.5214;0.0745;0.0382;0.032;0.499;0.556;11;0.073632234;0.036443314
APC MR;APC MR;0.409090909;0.29;12.1;0.547;0.0711;0.0376;0.031;0.492;0.53;11;0.070645946;0.03574636
APC MR;APC MR;0.409090909;0.31;13;0.5701;0.0675;0.0369;0.031;0.483;0.504;11;0.067547395;0.034950605
APC MR;APC MR;0.409090909;0.33;13.9;0.5906;0.0639;0.0361;0.03;0.472;0.477;11;0.064337591;0.034056051
APC MR;APC MR;0.409090909;0.36;14.9;0.6086;0.0601;0.0352;0.029;0.46;0.449;11;0.059316493;0.032528969
APC MR;APC MR;0.409090909;0.38;15.8;0.6243;0.0562;0.0341;0.028;0.446;0.42;11;0.055832973;0.031387414
APC MR;APC MR;0.409090909;0.4;16.7;0.6376;0.0522;0.0328;0.027;0.429;0.39;11;0.052241734;0.03014706
APC MR;APC MR;0.409090909;0.42;17.6;0.6486;0.0481;0.0314;0.026;0.41;0.359;11;0.048543787;0.028807905
APC MR;APC MR;0.409090909;0.45;18.6;0.6573;0.0438;0.0297;0.025;0.388;0.327;11;0.042798995;0.026613923
APC MR;APC MR;0.409090909;0.47;19.5;0.6632;0.0395;0.0278;0.023;0.364;0.295;11;0.038838694;0.025027769
APC MR;APC MR;0.409090909;0.49;20.4;0.6652;0.0349;0.0257;0.021;0.336;0.261;11;0.034775219;0.023342814
APC MR;APC MR;0.409090909;0.51;21.4;0.662;0.0302;0.0234;0.019;0.306;0.226;11;0.030609579;0.02155906
APC MR;APC MR;0.409090909;0.53;22.3;0.6514;0.0254;0.0209;0.017;0.273;0.19;11;0.026342785;0.019676505
APC MR;APC MR;0.409090909;0.56;23.2;0.6283;0.0205;0.0182;0.015;0.237;0.153;11;0.019755139;0.016667423
APC MR;APC MR;0.409090909;0.58;24.1;0.5831;0.0155;0.0154;0.013;0.201;0.116;11;0.015239877;0.014537869
APC MR;APC MR;0.409090909;0.6;25.1;0.4984;0.0104;0.0126;0.01;0.164;0.078;11;0.010626996;0.012309514
APC MR;APC MR;0.409090909;0.62;26;0.3368;0.0053;0.0097;0.008;0.127;0.039;11;0.005917505;0.00998236
APC MR;APC MR;0.409090909;0.65;26.9;0.0009;0;0.0069;0.006;0.091;0;11;-0.001325665;0.006306378
APC MR;APC MR;0.409090909;0;0;0;0.1042;0.0384;0.062;0.784;1.215;11;0.102448629;0.036182151
APC MR;APC MR;0.409090909;0.02;1.2;0.0588;0.1026;0.0387;0.063;0.79;1.197;11;0.101076744;0.036818996
APC MR;APC MR;0.409090909;0.04;2.3;0.1149;0.1009;0.0389;0.063;0.794;1.176;11;0.099578961;0.037357042
APC MR;APC MR;0.409090909;0.07;3.5;0.1685;0.0989;0.039;0.063;0.797;1.154;11;0.097098439;0.03797886
APC MR;APC MR;0.409090909;0.09;4.6;0.2194;0.0969;0.0391;0.063;0.799;1.129;11;0.095290331;0.038269905
APC MR;APC MR;0.409090909;0.11;5.8;0.2676;0.0946;0.0392;0.063;0.799;1.103;11;0.093359861;0.038462151
APC MR;APC MR;0.409090909;0.13;6.9;0.3133;0.0922;0.0391;0.063;0.799;1.075;11;0.091308038;0.038555596
APC MR;APC MR;0.409090909;0.16;8.1;0.3562;0.0896;0.039;0.063;0.796;1.045;11;0.088004976;0.038510514
APC MR;APC MR;0.409090909;0.18;9.2;0.3966;0.0869;0.0388;0.063;0.793;1.013;11;0.08565419;0.03835696
APC MR;APC MR;0.409090909;0.2;10.4;0.4343;0.084;0.0386;0.062;0.787;0.98;11;0.083185585;0.038104605
APC MR;APC MR;0.409090909;0.22;11.5;0.4694;0.081;0.0382;0.062;0.78;0.944;11;0.080600173;0.037753451
APC MR;APC MR;0.409090909;0.24;12.7;0.5018;0.0777;0.0378;0.061;0.771;0.907;11;0.077898962;0.037303496
APC MR;APC MR;0.409090909;0.27;13.8;0.5314;0.0744;0.0372;0.06;0.76;0.867;11;0.073632234;0.036443314
APC MR;APC MR;0.409090909;0.29;15;0.5585;0.0709;0.0366;0.059;0.747;0.827;11;0.070645946;0.03574636
APC MR;APC MR;0.409090909;0.31;16.2;0.5831;0.0674;0.0358;0.058;0.731;0.785;11;0.067547395;0.034950605
APC MR;APC MR;0.409090909;0.33;17.3;0.6052;0.0637;0.035;0.057;0.714;0.743;11;0.064337591;0.034056051
APC MR;APC MR;0.409090909;0.35;18.5;0.6248;0.0599;0.034;0.055;0.694;0.699;11;0.061017543;0.033062696
APC MR;APC MR;0.409090909;0.38;19.6;0.6419;0.0561;0.0329;0.053;0.672;0.654;11;0.055832973;0.031387414
APC MR;APC MR;0.409090909;0.4;20.8;0.6566;0.052;0.0316;0.051;0.645;0.607;11;0.052241734;0.03014706
APC MR;APC MR;0.409090909;0.42;21.9;0.6689;0.0479;0.0301;0.049;0.615;0.558;11;0.048543787;0.028807905
APC MR;APC MR;0.409090909;0.44;23.1;0.6784;0.0436;0.0285;0.046;0.581;0.508;11;0.04474014;0.027369951
APC MR;APC MR;0.409090909;0.47;24.2;0.6847;0.0392;0.0266;0.043;0.544;0.457;11;0.038838694;0.025027769
APC MR;APC MR;0.409090909;0.49;25.4;0.6871;0.0347;0.0246;0.04;0.502;0.404;11;0.034775219;0.023342814
APC MR;APC MR;0.409090909;0.51;26.5;0.6841;0.03;0.0223;0.036;0.456;0.35;11;0.030609579;0.02155906
APC MR;APC MR;0.409090909;0.53;27.7;0.6734;0.0252;0.0199;0.032;0.406;0.294;11;0.026342785;0.019676505
APC MR;APC MR;0.409090909;0.55;28.8;0.6497;0.0203;0.0173;0.028;0.354;0.237;11;0.021975846;0.017695151
APC MR;APC MR;0.409090909;0.58;30;0.6033;0.0154;0.0147;0.024;0.3;0.179;11;0.015239877;0.014537869
APC MR;APC MR;0.409090909;0.6;31.2;0.5158;0.0103;0.012;0.019;0.244;0.12;11;0.010626996;0.012309514
APC MR;APC MR;0.409090909;0.62;32.3;0.349;0.0052;0.0092;0.015;0.188;0.061;11;0.005917505;0.00998236
APC MR;APC MR;0.409090909;0.64;33.5;0.0002;0;0.0066;0.011;0.135;0;11;0.001112415;0.007556405
APC MR;APC MR;0.409090909;0;0;0;0.1044;0.0377;0.106;1.108;1.753;11;0.102448629;0.036182151
APC MR;APC MR;0.409090909;0.02;1.4;0.0601;0.1028;0.038;0.106;1.117;1.726;11;0.101076744;0.036818996
APC MR;APC MR;0.409090909;0.04;2.8;0.1174;0.1011;0.0382;0.107;1.123;1.697;11;0.099578961;0.037357042
APC MR;APC MR;0.409090909;0.07;4.2;0.172;0.0991;0.0384;0.107;1.128;1.664;11;0.097098439;0.03797886
APC MR;APC MR;0.409090909;0.09;5.5;0.2238;0.097;0.0385;0.108;1.131;1.629;11;0.095290331;0.038269905
APC MR;APC MR;0.409090909;0.11;6.9;0.2731;0.0948;0.0385;0.108;1.132;1.591;11;0.093359861;0.038462151
APC MR;APC MR;0.409090909;0.13;8.3;0.3196;0.0923;0.0385;0.108;1.131;1.55;11;0.091308038;0.038555596
APC MR;APC MR;0.409090909;0.16;9.7;0.3636;0.0897;0.0383;0.107;1.127;1.507;11;0.088004976;0.038510514
APC MR;APC MR;0.409090909;0.18;11.1;0.4049;0.087;0.0381;0.107;1.121;1.461;11;0.08565419;0.03835696
APC MR;APC MR;0.409090909;0.2;12.5;0.4437;0.0841;0.0378;0.106;1.113;1.412;11;0.083185585;0.038104605
APC MR;APC MR;0.409090909;0.22;13.9;0.4799;0.081;0.0375;0.105;1.101;1.36;11;0.080600173;0.037753451
APC MR;APC MR;0.409090909;0.24;15.3;0.5135;0.0778;0.037;0.103;1.086;1.305;11;0.077898962;0.037303496
APC MR;APC MR;0.409090909;0.27;16.6;0.5446;0.0744;0.0364;0.102;1.069;1.248;11;0.073632234;0.036443314
APC MR;APC MR;0.409090909;0.29;18;0.5731;0.0709;0.0357;0.1;1.049;1.19;11;0.070645946;0.03574636
APC MR;APC MR;0.409090909;0.31;19.4;0.5992;0.0672;0.0349;0.098;1.025;1.129;11;0.067547395;0.034950605
APC MR;APC MR;0.409090909;0.33;20.8;0.6228;0.0635;0.0339;0.095;0.998;1.066;11;0.064337591;0.034056051
APC MR;APC MR;0.409090909;0.36;22.2;0.6437;0.0597;0.0329;0.092;0.968;1.002;11;0.059316493;0.032528969
APC MR;APC MR;0.409090909;0.38;23.6;0.662;0.0558;0.0318;0.089;0.934;0.936;11;0.055832973;0.031387414
APC MR;APC MR;0.409090909;0.4;25;0.6779;0.0516;0.0304;0.085;0.894;0.867;11;0.052241734;0.03014706
APC MR;APC MR;0.409090909;0.42;26.4;0.6911;0.0474;0.0289;0.081;0.85;0.795;11;0.048543787;0.028807905
APC MR;APC MR;0.409090909;0.44;27.7;0.7009;0.043;0.0272;0.076;0.8;0.722;11;0.04474014;0.027369951
APC MR;APC MR;0.409090909;0.47;29.1;0.7068;0.0385;0.0254;0.071;0.747;0.647;11;0.038838694;0.025027769
APC MR;APC MR;0.409090909;0.49;30.5;0.7089;0.034;0.0234;0.066;0.688;0.571;11;0.034775219;0.023342814
APC MR;APC MR;0.409090909;0.51;31.9;0.7053;0.0294;0.0213;0.06;0.625;0.493;11;0.030609579;0.02155906
APC MR;APC MR;0.409090909;0.53;33.3;0.6933;0.0247;0.019;0.053;0.558;0.415;11;0.026342785;0.019676505
APC MR;APC MR;0.409090909;0.55;34.7;0.6677;0.0199;0.0166;0.046;0.487;0.335;11;0.021975846;0.017695151
APC MR;APC MR;0.409090909;0.58;36.1;0.6186;0.0151;0.0141;0.039;0.414;0.253;11;0.015239877;0.014537869
APC MR;APC MR;0.409090909;0.6;37.4;0.5274;0.0101;0.0115;0.032;0.338;0.17;11;0.010626996;0.012309514
APC MR;APC MR;0.409090909;0.62;38.8;0.355;0.0051;0.0089;0.025;0.262;0.086;11;0.005917505;0.00998236
APC MR;APC MR;0.409090909;0.64;40.2;0.0006;0;0.0064;0.018;0.188;0;11;0.001112415;0.007556405
APC MR;APC MR;0.409090909;0;0;0;0.1048;0.0374;0.166;1.495;2.396;11;0.102448629;0.036182151
APC MR;APC MR;0.409090909;0.02;1.6;0.0609;0.1033;0.0376;0.167;1.506;2.36;11;0.101076744;0.036818996
APC MR;APC MR;0.409090909;0.04;3.2;0.119;0.1015;0.0379;0.168;1.515;2.319;11;0.099578961;0.037357042
APC MR;APC MR;0.409090909;0.07;4.9;0.1743;0.0995;0.038;0.169;1.521;2.275;11;0.097098439;0.03797886
APC MR;APC MR;0.409090909;0.09;6.5;0.227;0.0974;0.0381;0.169;1.525;2.226;11;0.095290331;0.038269905
APC MR;APC MR;0.409090909;0.11;8.1;0.2769;0.0951;0.0381;0.169;1.525;2.174;11;0.093359861;0.038462151
APC MR;APC MR;0.409090909;0.13;9.7;0.3243;0.0927;0.0381;0.169;1.523;2.118;11;0.091308038;0.038555596
APC MR;APC MR;0.409090909;0.16;11.3;0.369;0.0901;0.0379;0.168;1.517;2.058;11;0.088004976;0.038510514
APC MR;APC MR;0.409090909;0.18;12.9;0.4112;0.0873;0.0377;0.167;1.508;1.995;11;0.08565419;0.03835696
APC MR;APC MR;0.409090909;0.2;14.6;0.4509;0.0843;0.0374;0.166;1.495;1.927;11;0.083185585;0.038104605
APC MR;APC MR;0.409090909;0.22;16.2;0.4881;0.0812;0.0369;0.164;1.478;1.856;11;0.080600173;0.037753451
APC MR;APC MR;0.409090909;0.24;17.8;0.5228;0.0779;0.0364;0.162;1.456;1.781;11;0.077898962;0.037303496
APC MR;APC MR;0.409090909;0.27;19.4;0.5551;0.0745;0.0358;0.159;1.431;1.703;11;0.073632234;0.036443314
APC MR;APC MR;0.409090909;0.29;21;0.5848;0.071;0.035;0.156;1.401;1.622;11;0.070645946;0.03574636
APC MR;APC MR;0.409090909;0.31;22.7;0.6123;0.0673;0.0342;0.152;1.366;1.538;11;0.067547395;0.034950605
APC MR;APC MR;0.409090909;0.33;24.3;0.6373;0.0635;0.0332;0.147;1.327;1.451;11;0.064337591;0.034056051
APC MR;APC MR;0.409090909;0.36;25.9;0.6593;0.0596;0.0321;0.143;1.284;1.362;11;0.059316493;0.032528969
APC MR;APC MR;0.409090909;0.38;27.5;0.6788;0.0556;0.0309;0.137;1.237;1.271;11;0.055832973;0.031387414
APC MR;APC MR;0.409090909;0.4;29.1;0.6957;0.0515;0.0296;0.131;1.183;1.177;11;0.052241734;0.03014706
APC MR;APC MR;0.409090909;0.42;30.8;0.7107;0.0474;0.0281;0.125;1.125;1.083;11;0.048543787;0.028807905
APC MR;APC MR;0.409090909;0.44;32.4;0.7207;0.043;0.0265;0.118;1.06;0.983;11;0.04474014;0.027369951
APC MR;APC MR;0.409090909;0.47;34;0.7269;0.0386;0.0247;0.11;0.99;0.882;11;0.038838694;0.025027769
APC MR;APC MR;0.409090909;0.49;35.6;0.7289;0.034;0.0228;0.101;0.912;0.778;11;0.034775219;0.023342814
APC MR;APC MR;0.409090909;0.51;37.2;0.725;0.0294;0.0207;0.092;0.828;0.672;11;0.030609579;0.02155906
APC MR;APC MR;0.409090909;0.53;38.8;0.7122;0.0247;0.0185;0.082;0.739;0.565;11;0.026342785;0.019676505
APC MR;APC MR;0.409090909;0.55;40.5;0.6853;0.0199;0.0161;0.072;0.646;0.455;11;0.021975846;0.017695151
APC MR;APC MR;0.409090909;0.58;42.1;0.6345;0.0151;0.0137;0.061;0.548;0.344;11;0.015239877;0.014537869
APC MR;APC MR;0.409090909;0.6;43.7;0.5411;0.0101;0.0112;0.05;0.449;0.231;11;0.010626996;0.012309514
APC MR;APC MR;0.409090909;0.62;45.3;0.3641;0.0051;0.0087;0.039;0.349;0.117;11;0.005917505;0.00998236
APC MR;APC MR;0.409090909;0.64;46.9;0.0001;0;0.0063;0.028;0.252;0;11;0.001112415;0.007556405
APC MR;APC MR;0.409090909;0;0;0;0.106;0.0396;0.263;2.071;3.165;11;0.102448629;0.036182151
APC MR;APC MR;0.409090909;0.02;1.9;0.0587;0.1044;0.0395;0.262;2.064;3.116;11;0.101076744;0.036818996
APC MR;APC MR;0.409090909;0.04;3.7;0.1159;0.1026;0.0393;0.261;2.056;3.062;11;0.099578961;0.037357042
APC MR;APC MR;0.409090909;0.07;5.6;0.1713;0.1006;0.0391;0.26;2.045;3.002;11;0.097098439;0.03797886
APC MR;APC MR;0.409090909;0.09;7.4;0.2247;0.0984;0.0389;0.258;2.034;2.937;11;0.095290331;0.038269905
APC MR;APC MR;0.409090909;0.11;9.3;0.2757;0.096;0.0387;0.257;2.022;2.866;11;0.093359861;0.038462151
APC MR;APC MR;0.409090909;0.13;11.1;0.3243;0.0935;0.0384;0.255;2.009;2.791;11;0.091308038;0.038555596
APC MR;APC MR;0.409090909;0.16;13;0.3702;0.0908;0.0381;0.253;1.994;2.71;11;0.088004976;0.038510514
APC MR;APC MR;0.409090909;0.18;14.8;0.4135;0.0879;0.0378;0.251;1.976;2.625;11;0.08565419;0.03835696
APC MR;APC MR;0.409090909;0.2;16.7;0.4543;0.0849;0.0374;0.248;1.954;2.535;11;0.083185585;0.038104605
APC MR;APC MR;0.409090909;0.22;18.5;0.4924;0.0817;0.0369;0.245;1.928;2.44;11;0.080600173;0.037753451
APC MR;APC MR;0.409090909;0.24;20.4;0.5278;0.0784;0.0363;0.241;1.897;2.34;11;0.077898962;0.037303496
APC MR;APC MR;0.409090909;0.27;22.2;0.5607;0.0749;0.0356;0.236;1.862;2.236;11;0.073632234;0.036443314
APC MR;APC MR;0.409090909;0.29;24.1;0.591;0.0713;0.0349;0.231;1.822;2.129;11;0.070645946;0.03574636
APC MR;APC MR;0.409090909;0.31;25.9;0.6191;0.0676;0.034;0.225;1.775;2.017;11;0.067547395;0.034950605
APC MR;APC MR;0.409090909;0.33;27.8;0.6447;0.0637;0.0329;0.219;1.721;1.902;11;0.064337591;0.034056051
APC MR;APC MR;0.409090909;0.36;29.6;0.6675;0.0598;0.0318;0.211;1.663;1.784;11;0.059316493;0.032528969
APC MR;APC MR;0.409090909;0.38;31.5;0.6878;0.0557;0.0306;0.203;1.599;1.663;11;0.055832973;0.031387414
APC MR;APC MR;0.409090909;0.4;33.3;0.7055;0.0516;0.0292;0.194;1.528;1.539;11;0.052241734;0.03014706
APC MR;APC MR;0.409090909;0.42;35.2;0.7204;0.0473;0.0277;0.184;1.45;1.413;11;0.048543787;0.028807905
APC MR;APC MR;0.409090909;0.44;37;0.7313;0.043;0.0261;0.173;1.366;1.284;11;0.04474014;0.027369951
APC MR;APC MR;0.409090909;0.47;38.9;0.7385;0.0386;0.0244;0.162;1.275;1.152;11;0.038838694;0.025027769
APC MR;APC MR;0.409090909;0.49;40.7;0.7415;0.0341;0.0225;0.149;1.174;1.017;11;0.034775219;0.023342814
APC MR;APC MR;0.409090909;0.51;42.6;0.7384;0.0294;0.0204;0.135;1.064;0.878;11;0.030609579;0.02155906
APC MR;APC MR;0.409090909;0.53;44.4;0.7265;0.0247;0.0182;0.12;0.949;0.738;11;0.026342785;0.019676505
APC MR;APC MR;0.409090909;0.56;46.3;0.7001;0.0199;0.0158;0.105;0.827;0.595;11;0.019755139;0.016667423
APC MR;APC MR;0.409090909;0.58;48.1;0.6496;0.0151;0.0134;0.089;0.701;0.45;11;0.015239877;0.014537869
APC MR;APC MR;0.409090909;0.6;50;0.5554;0.0101;0.0109;0.073;0.571;0.302;11;0.010626996;0.012309514
APC MR;APC MR;0.409090909;0.62;51.9;0.3749;0.0051;0.0085;0.056;0.442;0.152;11;0.005917505;0.00998236
APC MR;APC MR;0.409090909;0.64;53.7;0;0;0.0061;0.04;0.316;0;11;0.001112415;0.007556405
APC MR;APC MR;0.409090909;0;0;0;0.107;0.0419;0.395;2.769;4.043;11;0.102448629;0.036182151
APC MR;APC MR;0.409090909;0.02;2.1;0.0567;0.1054;0.0413;0.39;2.734;3.98;11;0.101076744;0.036818996
APC MR;APC MR;0.409090909;0.04;4.2;0.1129;0.1035;0.0408;0.385;2.698;3.91;11;0.099578961;0.037357042
APC MR;APC MR;0.409090909;0.07;6.3;0.1681;0.1014;0.0403;0.38;2.663;3.832;11;0.097098439;0.03797886
APC MR;APC MR;0.409090909;0.09;8.3;0.222;0.0992;0.0397;0.375;2.629;3.747;11;0.095290331;0.038269905
APC MR;APC MR;0.409090909;0.11;10.4;0.2739;0.0968;0.0393;0.371;2.599;3.655;11;0.093359861;0.038462151
APC MR;APC MR;0.409090909;0.13;12.5;0.3235;0.0942;0.0389;0.367;2.57;3.557;11;0.091308038;0.038555596
APC MR;APC MR;0.409090909;0.16;14.6;0.3705;0.0914;0.0384;0.363;2.541;3.453;11;0.088004976;0.038510514
APC MR;APC MR;0.409090909;0.18;16.7;0.4147;0.0885;0.038;0.359;2.511;3.343;11;0.08565419;0.03835696
APC MR;APC MR;0.409090909;0.2;18.8;0.4563;0.0854;0.0375;0.354;2.478;3.226;11;0.083185585;0.038104605
APC MR;APC MR;0.409090909;0.22;20.9;0.4952;0.0822;0.0369;0.349;2.441;3.104;11;0.080600173;0.037753451
APC MR;APC MR;0.409090909;0.24;22.9;0.5313;0.0788;0.0363;0.343;2.399;2.976;11;0.077898962;0.037303496
