TYPE;Model;Kv_rpm_v;Pole_number;Io_A;R_ohm;Mass_g;Imax_A;No_s;Voltage;Kt_Nm_A;Tnom_Nm;Eta_efficiency;Icc_A;I_opt_A;Cf_Nm;Tmax_Nm;Estim -->;Mass_SL_g;Resistance_SL_ohm;Cf_SL_Nm
AXI;AXI 2203/RACE GOLD LINE;2300;14;0.55;0.22;18.5;9;3;11.1;0.00415;0.029;79;50.45;5.27;0.00228;0.037366813;;16.709;0.2192;0.001664968
AXI;AXI 2203/52 GOLD LINE;1525;14;0.4;0.39;18.5;7;2;7.4;0.00626;0.032;66;18.97;2.75;0.0025;0.043832837;;19.1586;0.397;0.001909051
AXI;AXI 2203/40VPP GOLD LINE;2000;14;0.5;0.245;17.5;9;2;7.4;0.00477;0.033;70;30.2;3.89;0.00239;0.042971835;;18.8355;0.2374;0.001876863
AXI;AXI 2203/46 GOLD LINE;1720;14;0.5;0.285;18.5;8.5;2;7.4;0.00555;0.036;68;25.96;3.6;0.00278;0.047191291;;20.4101;0.2808;0.002033759
AXI;AXI 2204/54 GOLD LINE;1400;14;0.35;0.32;25.9;7.5;3;11.1;0.00682;0.039;78;34.69;3.48;0.00239;0.051156946;;21.8716;0.3777;0.002179396
AXI;AXI 2208/26 GOLD LINE;1420;14;0.6;0.155;45;11;3;11.1;0.00672;0.056;82;71.61;6.55;0.00403;0.073973424;;30.0034;0.2168;0.002989686
AXI;AXI 2208/34 GOLD LINE;1100;14;0.35;0.26;45;8;3;11.1;0.00868;0.058;79;42.69;3.87;0.00304;0.06944943;;28.4236;0.3953;0.002832265
AXI;AXI 2208/20 GOLD LINE;1820;14;0.8;0.089;45;16;3;11.1;0.00525;0.059;84;124.72;9.99;0.0042;0.08394986;;33.44;0.1101;0.00333212
AXI;AXI 2808/16 GOLD LINE;1820;14;2;0.075;76;25;3;11.1;0.00525;0.068;78;148;17.2;0.0105;0.131171656;;49.0227;0.0582;0.00488486
AXI;AXI 2217/5H GOLD LINE;3000;14;1.9;0.039;68.5;34;3;11.1;0.00318;0.08;84;284.62;23.25;0.00605;0.108225361;;41.5735;0.0282;0.004142584
AXI;AXI 2808/20 GOLD LINE;1490;14;1.3;0.105;76;22;3;11.1;0.00641;0.088;78;105.71;11.72;0.00833;0.140996325;;52.1536;0.0784;0.005196833
AXI;AXI 2212/20 GOLD LINE;1150;14;0.7;0.135;57;16;3;11.1;0.0083;0.094;80;82.22;7.59;0.00581;0.132859779;;49.563;0.1432;0.004938696
AXI;AXI 2212/26 GOLD LINE;920;14;0.45;0.21;57;12;3;11.1;0.01038;0.099;77;52.86;4.88;0.00467;0.124556042;;46.8957;0.2453;0.004672913
AXI;AXI 2212/12 GOLD LINE;1950;14;1.2;0.045;57;28;3;11.1;0.0049;0.102;86;246.67;17.2;0.00588;0.137118105;;50.9215;0.0476;0.005074067
AXI;AXI 2212/34 GOLD LINE;710;14;0.4;0.345;57;10;3;11.1;0.01345;0.102;71;32.17;3.59;0.00538;0.134497135;;50.0861;0.3691;0.00499082
AXI;AXI 2808/24 GOLD LINE;1190;14;1;0.115;76;22;3;11.1;0.00802;0.112;79;96.52;9.82;0.00802;0.176541618;;63.2375;0.0891;0.006301292
AXI;AXI 2814/6D GOLD LINE;2850;14;4.5;0.022;106;55;3;11.1;0.00335;0.136;82;504.55;47.65;0.0151;0.184284671;;65.6075;0.0146;0.006537453
AXI;AXI 2217/20 GOLD LINE;840;14;0.55;0.185;69.5;18;4;14.8;0.01137;0.153;79;80;6.63;0.00625;0.204627784;;71.7683;0.1448;0.007151341
AXI;AXI 2217/16 GOLD LINE;1050;14;0.7;0.12;69.5;22;3;11.1;0.00909;0.157;77;92.5;8.05;0.00637;0.2000805;;70.3991;0.0957;0.007014907
