,,,description,filename,unit,abbreviation,num_cfs
Cumulative Energy Demand (CED),"energy resources: renewable, geothermal",energy content (HHV),,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-energy-demand-cedee.733c853d4635303b8ae6fb5e91cac347,1
Cumulative Energy Demand (CED),"energy resources: renewable, geothermal, solar, wind",energy content (HHV),,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-energy-demand-cedee.cf2069e2e31e1939a43785f274858b25,3
Cumulative Energy Demand (CED),"energy resources: renewable, solar",energy content (HHV),,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-energy-demand-cedee.a3a892cb2e66b300694baa65d5b69a10,1
Cumulative Energy Demand (CED),"energy resources: renewable, water",energy content (HHV),,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-energy-demand-cedee.644df24de258bc9ee29f2585ce58ef14,1
Cumulative Energy Demand (CED),"energy resources: renewable, wind",energy content (HHV),,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-energy-demand-cedee.964354bfebfe841b8ce610d30fcb7754,1
Cumulative Energy Demand (CED),total,energy content (HHV),,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-energy-demand-cedte.a9b5eb5934dd1f9719796c9625f25a11,13
Cumulative Exergy Demand (CExD),energy resources: non-renewable,exergy content,,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-exergy-demand-cexdee.0197d93d4b059cf876e1a60b66c8c5c8,8
Cumulative Exergy Demand (CExD),"energy resources: non-renewable, biomass",exergy content,,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-exergy-demand-cexdee.be8cf42249a429dc80a1fafee57647d3,1
Cumulative Exergy Demand (CExD),"energy resources: non-renewable, fossil",exergy content,,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-exergy-demand-cexdee.76fc755d65adfde1eed99f0ffb7ef1d7,6
Cumulative Exergy Demand (CExD),"energy resources: non-renewable, nuclear",exergy content,,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-exergy-demand-cexdee.caf2532bfc51c7fedc1ae3bc158753ca,1
Cumulative Exergy Demand (CExD),energy resources: renewable,exergy content,,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-exergy-demand-cexdee.f0a781d1ce4a81a4bbd98620a1af04da,4
Cumulative Exergy Demand (CExD),"energy resources: renewable, biomass",exergy content,,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-exergy-demand-cexdee.588afeab0a58bda19bc8a07d220fcd8d,1
Cumulative Exergy Demand (CExD),"energy resources: renewable, solar",exergy content,,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-exergy-demand-cexdee.58fd123e12ffa46b119990b0a4876cad,1
Cumulative Exergy Demand (CExD),"energy resources: renewable, water",exergy content,,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-exergy-demand-cexdee.53298df826a3488803918149220867fd,1
Cumulative Exergy Demand (CExD),"energy resources: renewable, wind",exergy content,,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-exergy-demand-cexdee.d2702e4e4fa3d85909c5b71fe6d895aa,1
Cumulative Exergy Demand (CExD),material resources,exergy content,,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-exergy-demand-cexdme.a65dc18e8101a6fd9c673cfa21162d40,154
Cumulative Exergy Demand (CExD),material resources: metals,exergy content,,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-exergy-demand-cexdme.afff450c9432587837b7e28c0ea99e4a,102
Cumulative Exergy Demand (CExD),material resources: minerals,exergy content,,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-exergy-demand-cexdme.634d919c05bc8facb839456695a6fc0a,46
Cumulative Exergy Demand (CExD),material resources: water,exergy content,,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-exergy-demand-cexdme.14bfea4e66e8855949f6ab42d136bd7e,6
Cumulative Exergy Demand (CExD),total,exergy content,,LCIA_Implementation_3.9.xlsx,MJ-Eq,cumulative-exergy-demand-cexdte.8f791c3f233ad6e89f980b0d7da94e61,166
Ecological Footprint,CO2,global hectares,,LCIA_Implementation_3.9.xlsx,square meter-year,ecological-footprintcg.e69eeec4f580cf816cae45ab8037c8c6,14
Ecological Footprint,land occupation,global hectares,,LCIA_Implementation_3.9.xlsx,square meter-year,ecological-footprintlg.c415fc7f002516e45df68ce23a4a8ae7,58
Ecological Footprint,nuclear,global hectares,,LCIA_Implementation_3.9.xlsx,square meter-year,ecological-footprintng.ab19c3d3fc932f42730ede6a3641ca93,1
Ecological Footprint,total,global hectares,,LCIA_Implementation_3.9.xlsx,square meter-year,ecological-footprinttg.bdd2051db9549757f39bd94bb8f204fb,73
Ecological Scarcity 2021 no LT,climate change no LT,global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-ltcg.5fed5371a2597d8bf9d4500ba4097dbd,97
Ecological Scarcity 2021 no LT,emissions to air no LT,air pollutants and PM no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-ltea.9578cb096d21959e63f7dcc2d6618bd2,355
Ecological Scarcity 2021 no LT,emissions to air no LT,carcinogenic substances into air no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-ltec.abcd43ba80d20d8827603334581e8191,50
Ecological Scarcity 2021 no LT,emissions to air no LT,heavy metals into air no LT,,LCIA_Implementation_3.9.xlsx,UBP,ecological-scarcity-2021-no-lteh.070e41be91ab6eadba03d340ba294edd,32
