,,,description,filename,unit,abbreviation,num_cfs
EDIP 2003 no LT,non-renewable resources no LT,silver no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltns.7230d0dfbf46c421676ddaedf36deb7b,8
EDIP 2003 no LT,non-renewable resources no LT,tantalum no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnt.c4917354efa6be485f465fea67b14810,2
EDIP 2003 no LT,non-renewable resources no LT,tin no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnt.591c62dfc053212ba1562dd2c2bbda2f,2
EDIP 2003 no LT,non-renewable resources no LT,zinc no LT,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003-no-ltnz.2c00cd0a25e23784a0765db656fb3496,3
EDIP 2003 no LT,photochemical ozone formation no LT,impacts on human health no LT,,LCIA_Implementation_3.9.xlsx,person.ppm.h,edip-2003-no-ltpi.92eefecb9f60266c3d4fe7c70abc31e6,410
EDIP 2003 no LT,photochemical ozone formation no LT,impacts on vegetation no LT,,LCIA_Implementation_3.9.xlsx,m2.ppm.h,edip-2003-no-ltpi.7bfe61020743e03187725fdf05a84eac,430
EDIP 2003 no LT,renewable resources no LT,wood no LT,,LCIA_Implementation_3.9.xlsx,cubic meter,edip-2003-no-ltrw.3d761555b928ea40dd8df7f19c72c8f2,4
EDIP 2003 no LT,stratospheric ozone depletion no LT,ODP total no LT,,LCIA_Implementation_3.9.xlsx,kg CFC-11-Eq,edip-2003-no-ltso.14f616451a536fc3938ee0ba5ae7b682,64
EDIP 2003,acidification,acidification,,LCIA_Implementation_3.9.xlsx,square meter,edip-2003aa.6b8b9606a80fc028d478b3e229eab4c3,39
EDIP 2003,ecotoxicity,"acute, in water",,LCIA_Implementation_3.9.xlsx,m3 water,edip-2003ea.2f45db6d47d6db4279070735500b8ba9,245
EDIP 2003,ecotoxicity,"chronic, in soil",,LCIA_Implementation_3.9.xlsx,m3 soil,edip-2003ec.17a0e31ba6219373396527b124c8cfcd,451
EDIP 2003,ecotoxicity,"chronic, in water",,LCIA_Implementation_3.9.xlsx,m3 water,edip-2003ec.1451f287f6eacab4c2f8d92fb056fd43,492
EDIP 2003,ecotoxicity,in sewage treatment plants,,LCIA_Implementation_3.9.xlsx,m3 waste water,edip-2003ei.c31bda407b67a9f72b155d8fabb071f9,166
EDIP 2003,eutrophication,combined potential,,LCIA_Implementation_3.9.xlsx,kg NO3-,edip-2003ec.f60cde875f6704e2778e818d15712968,123
EDIP 2003,eutrophication,separate N potential,,LCIA_Implementation_3.9.xlsx,kg N,edip-2003es.c4c03ff562355e01083a95d2d967b289,79
EDIP 2003,eutrophication,separate P potential,,LCIA_Implementation_3.9.xlsx,kg P,edip-2003es.e59a69ae39558daf0f569a00e9581ee7,19
EDIP 2003,eutrophication,terrestrial eutrophication,,LCIA_Implementation_3.9.xlsx,square meter,edip-2003et.8e9c868635529e27d7dbd94441f36485,10
EDIP 2003,global warming,GWP 100a,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,edip-2003gg.6abfbb89d15b5d2e4922ab33bc4606b9,593
EDIP 2003,global warming,GWP 20a,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,edip-2003gg.3b23be607e2293a0d1ffdad6fb8c041c,593
EDIP 2003,global warming,GWP 500a,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,edip-2003gg.bc2bbac09b04f7da1a6261c202c2f36a,593
EDIP 2003,human toxicity,via air,,LCIA_Implementation_3.9.xlsx,m3 air,edip-2003hv.f469842a48a850d2b3245e114c79b79d,452
EDIP 2003,human toxicity,via soil,,LCIA_Implementation_3.9.xlsx,m3 soil,edip-2003hv.242a94c9f2886c18c664c809813c4f9e,464
EDIP 2003,human toxicity,via surface water,,LCIA_Implementation_3.9.xlsx,m3 water,edip-2003hv.07524ff334ee03215054a960c9292c98,566
EDIP 2003,land filling,bulk waste,,LCIA_Implementation_3.9.xlsx,kg waste,edip-2003lb.29ec84644b9d587533b52497cb1dfcc1,3
EDIP 2003,land filling,hazardous waste,,LCIA_Implementation_3.9.xlsx,kg waste,edip-2003lh.51585c98486c91b36850203d08747e74,1
EDIP 2003,land filling,radioactive waste,,LCIA_Implementation_3.9.xlsx,kg waste,edip-2003lr.072544103bb400b6b490424bb0ba6e1b,2
EDIP 2003,land filling,slag and ashes,,LCIA_Implementation_3.9.xlsx,kg waste,edip-2003ls.06ee42a7131620be9c370199890b1b13,1
EDIP 2003,non-renewable resources,aluminium,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003na.aba2e43d45e9c96fcbed9dc03eb3fdcb,2
EDIP 2003,non-renewable resources,antimony,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003na.83e1722439ab2bdb54412bea1b7a0698,2
EDIP 2003,non-renewable resources,brown coal,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003nb.51ba18c83860051f77e8dc4b47a61470,1
EDIP 2003,non-renewable resources,cadmium,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003nc.97e34413cdc0fdb99457285925eef5bd,2
EDIP 2003,non-renewable resources,cerium,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003nc.18cc0bcb7464ed5d9a2bfa3a556e33c6,2
EDIP 2003,non-renewable resources,coal,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003nc.47df3b75a9bbf8729d28f584389fd720,1
EDIP 2003,non-renewable resources,cobalt,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003nc.0fb3ef238af5e2b104b81caab9609a37,1
EDIP 2003,non-renewable resources,copper,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003nc.fe13cdb84bb5be536f9f5aa0fdeedaf4,12
EDIP 2003,non-renewable resources,gold,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003ng.a8994b88c153ad065182f7e6cf1a7166,10
EDIP 2003,non-renewable resources,iron,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003ni.f92d226f51a0dbb103b879a04510188d,2
EDIP 2003,non-renewable resources,lanthanum,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003nl.eca49c208075ccc8645694bcd5fffa6c,2
EDIP 2003,non-renewable resources,lead,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003nl.f773c5d68f401d1cf00338cfd572cf3c,3
EDIP 2003,non-renewable resources,manganese,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003nm.78c9c0e1889f08f59aa0907a055f3e25,3
EDIP 2003,non-renewable resources,mercury,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003nm.fd0adb07e97c46473081977738d63938,2
EDIP 2003,non-renewable resources,molybdenum,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003nm.c88af42ee46d51dd3da8433db5a7bbdd,8
EDIP 2003,non-renewable resources,natural gas,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003nn.35e03be4e570fbacb0f0562720378673,2
EDIP 2003,non-renewable resources,nickel,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003nn.eea05d5d59148990d83aedbe6aaafa1b,5
EDIP 2003,non-renewable resources,oil,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003no.92de4e0f5e34a88e8d70071eca465d6b,1
EDIP 2003,non-renewable resources,palladium,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003np.ac6b9f61240af75991d709c400f0f8fa,3
EDIP 2003,non-renewable resources,platinum,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003np.8a46fdb40b5006209e97e88b02efe86c,3
EDIP 2003,non-renewable resources,silver,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003ns.6f5a5253e999fb99ba1ad9e3dce41729,8
EDIP 2003,non-renewable resources,tantalum,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003nt.9081744f855702d88d75d86db6440f8e,2
EDIP 2003,non-renewable resources,tin,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003nt.21395b107256ba12f9e836f47e6e499b,2
EDIP 2003,non-renewable resources,zinc,,LCIA_Implementation_3.9.xlsx,kilogram,edip-2003nz.dbfebcde65f68ed9d749f1b22a2127d6,3
EDIP 2003,photochemical ozone formation,impacts on human health,,LCIA_Implementation_3.9.xlsx,person.ppm.h,edip-2003pi.afce0a82119a4065c2b0d988078c1691,513
EDIP 2003,photochemical ozone formation,impacts on vegetation,,LCIA_Implementation_3.9.xlsx,m2.ppm.h,edip-2003pi.8ed3ef1aa959abc8122a49e2d8b2be52,538
EDIP 2003,renewable resources,wood,,LCIA_Implementation_3.9.xlsx,cubic meter,edip-2003rw.2a78a9214d071965e36d479f163249de,4
EDIP 2003,stratospheric ozone depletion,ODP total,,LCIA_Implementation_3.9.xlsx,kg CFC-11-Eq,edip-2003so.863feb3b7678d7f6654ed10a1ca7c6fc,80
EF v3.0 no LT,acidification no LT,accumulated exceedance (AE) no LT,,LCIA_Implementation_3.9.xlsx,mol H+-Eq,ef-v30-no-ltaa.89504dec5adb27b149fbb2f8fff0f43f,18
EF v3.0 no LT,climate change no LT,global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ef-v30-no-ltcg.ba81474170e9e879cf9c8b0812a1b77b,159
EF v3.0 no LT,climate change: biogenic no LT,global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ef-v30-no-ltcg.f87fe6700e3b667e85e6093c85962d47,4
EF v3.0 no LT,climate change: fossil no LT,global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ef-v30-no-ltcg.df79bbe4212aebf801b0a12b55656349,139
EF v3.0 no LT,climate change: land use and land use change no LT,global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ef-v30-no-ltcg.e0b4c646ca9e0c4e30582c8baa6c7b25,16
EF v3.0 no LT,ecotoxicity: freshwater no LT,comparative toxic unit for ecosystems (CTUe) no LT,,LCIA_Implementation_3.9.xlsx,CTUe,ef-v30-no-ltec.6caca60b6d76bba8c12b0558684d7cb7,2482
EF v3.0 no LT,"ecotoxicity: freshwater, inorganics no LT",comparative toxic unit for ecosystems (CTUe) no LT,,LCIA_Implementation_3.9.xlsx,CTUe,ef-v30-no-ltec.0bd61e2b4d7963a4971cbc4c0a73d45c,272
EF v3.0 no LT,"ecotoxicity: freshwater, metals no LT",comparative toxic unit for ecosystems (CTUe) no LT,,LCIA_Implementation_3.9.xlsx,CTUe,ef-v30-no-ltec.29420aa7e421f0216a4bd15e0f61638e,362
EF v3.0 no LT,"ecotoxicity: freshwater, organics no LT",comparative toxic unit for ecosystems (CTUe) no LT,,LCIA_Implementation_3.9.xlsx,CTUe,ef-v30-no-ltec.ae787d3ccd56984a24f1f2c55e9486b1,1848
EF v3.0 no LT,energy resources: non-renewable no LT,abiotic depletion potential (ADP): fossil fuels no LT,,LCIA_Implementation_3.9.xlsx,"MJ, net calorific value",ef-v30-no-ltea.b2a216e5a1479592c97b561a80579097,7
EF v3.0 no LT,eutrophication: freshwater no LT,fraction of nutrients reaching freshwater end compartment (P) no LT,,LCIA_Implementation_3.9.xlsx,kg P-Eq,ef-v30-no-ltef.2c5dcb4b58afb98b91edfe338c520e8b,11
EF v3.0 no LT,eutrophication: marine no LT,fraction of nutrients reaching marine end compartment (N) no LT,,LCIA_Implementation_3.9.xlsx,kg N-Eq,ef-v30-no-ltef.b0d77391ac1c65323d2437b7b341a337,29
EF v3.0 no LT,eutrophication: terrestrial no LT,accumulated exceedance (AE) no LT,,LCIA_Implementation_3.9.xlsx,mol N-Eq,ef-v30-no-ltea.4e8ee4c02b5d41e3c1b2dac355752ac4,13
EF v3.0 no LT,human toxicity: carcinogenic no LT,comparative toxic unit for human (CTUh) no LT,,LCIA_Implementation_3.9.xlsx,CTUh,ef-v30-no-lthc.4e383bb28ad42e1a509b62d6dcdc5b21,478
EF v3.0 no LT,"human toxicity: carcinogenic, inorganics no LT",comparative toxic unit for human (CTUh) no LT,,LCIA_Implementation_3.9.xlsx,CTUh,ef-v30-no-lthc.2de62b628f70c14ca13b7c55ee1f5cbf,4
EF v3.0 no LT,"human toxicity: carcinogenic, metals no LT",comparative toxic unit for human (CTUh) no LT,,LCIA_Implementation_3.9.xlsx,CTUh,ef-v30-no-lthc.53effddb9c9e84a0148ff5c91efd79b7,92
EF v3.0 no LT,"human toxicity: carcinogenic, organics no LT",comparative toxic unit for human (CTUh) no LT,,LCIA_Implementation_3.9.xlsx,CTUh,ef-v30-no-lthc.48fb29ce72b1163c8693e46326402fa0,382
EF v3.0 no LT,human toxicity: non-carcinogenic no LT,comparative toxic unit for human (CTUh) no LT,,LCIA_Implementation_3.9.xlsx,CTUh,ef-v30-no-lthc.def940c3fbb0789553f2b362fa61853f,2057
EF v3.0 no LT,"human toxicity: non-carcinogenic, inorganics no LT",comparative toxic unit for human (CTUh) no LT,,LCIA_Implementation_3.9.xlsx,CTUh,ef-v30-no-lthc.ce347fd5a3f789cf1208dae425935b6c,195
EF v3.0 no LT,"human toxicity: non-carcinogenic, metals no LT",comparative toxic unit for human (CTUh) no LT,,LCIA_Implementation_3.9.xlsx,CTUh,ef-v30-no-lthc.654b1e1e70332647b232897d15445d42,270
EF v3.0 no LT,"human toxicity: non-carcinogenic, organics no LT",comparative toxic unit for human (CTUh) no LT,,LCIA_Implementation_3.9.xlsx,CTUh,ef-v30-no-lthc.abd5e65cb0074fd3aa2dd33c80b68ead,1597
EF v3.0 no LT,ionising radiation: human health no LT,human exposure efficiency relative to u235 no LT,,LCIA_Implementation_3.9.xlsx,kBq U235-Eq,ef-v30-no-ltih.4a8344c526fabfda610c9179e703d222,156
EF v3.0 no LT,land use no LT,soil quality index no LT,,LCIA_Implementation_3.9.xlsx,dimensionless,ef-v30-no-ltls.3938dde54ad56f79c85c1013a3983c8c,155
EF v3.0 no LT,material resources: metals/minerals no LT,abiotic depletion potential (ADP): elements (ultimate reserves) no LT,,LCIA_Implementation_3.9.xlsx,kg Sb-Eq,ef-v30-no-ltma.1613a0a7bd476ef82b3b3f12836b502f,148
EF v3.0 no LT,ozone depletion no LT,ozone depletion potential (ODP) no LT,,LCIA_Implementation_3.9.xlsx,kg CFC-11-Eq,ef-v30-no-ltoo.bb0448c930bc5071a7fc85d9937a2c10,60
EF v3.0 no LT,particulate matter formation no LT,impact on human health no LT,,LCIA_Implementation_3.9.xlsx,disease incidence,ef-v30-no-ltpi.b3355933ba4a5dc4bf50ed9010aa8f67,21
EF v3.0 no LT,photochemical oxidant formation: human health no LT,tropospheric ozone concentration increase no LT,,LCIA_Implementation_3.9.xlsx,kg NMVOC-Eq,ef-v30-no-ltpt.a6dac43bc8a8384e26ecb463fe7de966,250
EF v3.0 no LT,water use no LT,user deprivation potential (deprivation-weighted water consumption) no LT,,LCIA_Implementation_3.9.xlsx,m3 world eq. deprived,ef-v30-no-ltwu.c30012d63a9eb713eb173308163b259a,4
EF v3.0,acidification,accumulated exceedance (AE),,LCIA_Implementation_3.9.xlsx,mol H+-Eq,ef-v30aa.bc63365a59e28af2f9ab3c8b43f0ff3b,21
EF v3.0,climate change,global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ef-v30cg.fc91b07ab84331932f3a5fff158a99d6,198
EF v3.0,climate change: biogenic,global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ef-v30cg.0b12705baa32e4a9480703bdfe6a7c9b,5
EF v3.0,climate change: fossil,global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ef-v30cg.bf997449c7b4e93176cd0d4cb32966dd,174
EF v3.0,climate change: land use and land use change,global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ef-v30cg.b585a3e5fdfacfd23de3b27dcc609bca,19
EF v3.0,ecotoxicity: freshwater,comparative toxic unit for ecosystems (CTUe),,LCIA_Implementation_3.9.xlsx,CTUe,ef-v30ec.1f10702b4f1a96f3b001933a96f82376,2482
EF v3.0,"ecotoxicity: freshwater, inorganics",comparative toxic unit for ecosystems (CTUe),,LCIA_Implementation_3.9.xlsx,CTUe,ef-v30ec.31517739b9957b8651c6e9984eb966ab,272
EF v3.0,"ecotoxicity: freshwater, metals",comparative toxic unit for ecosystems (CTUe),,LCIA_Implementation_3.9.xlsx,CTUe,ef-v30ec.ddf84bf4e8c70997d5a8eb15c5e774a0,362
EF v3.0,"ecotoxicity: freshwater, organics",comparative toxic unit for ecosystems (CTUe),,LCIA_Implementation_3.9.xlsx,CTUe,ef-v30ec.7bc584a02f719115aaa27c6ef3652591,1848
EF v3.0,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,,LCIA_Implementation_3.9.xlsx,"MJ, net calorific value",ef-v30ea.0cd38b874d1078f73fdd42d342018ce9,7
EF v3.0,eutrophication: freshwater,fraction of nutrients reaching freshwater end compartment (P),,LCIA_Implementation_3.9.xlsx,kg P-Eq,ef-v30ef.e2da9993d64f45a5c2469a28d58770be,13
EF v3.0,eutrophication: marine,fraction of nutrients reaching marine end compartment (N),,LCIA_Implementation_3.9.xlsx,kg N-Eq,ef-v30ef.257bab5abc0ac68cbf881345d7f4d216,36
EF v3.0,eutrophication: terrestrial,accumulated exceedance (AE),,LCIA_Implementation_3.9.xlsx,mol N-Eq,ef-v30ea.88102410a0a8a7b96065aadbaa4d903e,16
EF v3.0,human toxicity: carcinogenic,comparative toxic unit for human (CTUh),,LCIA_Implementation_3.9.xlsx,CTUh,ef-v30hc.7f9911f1a3357763fbb470ff446b3ad3,478
EF v3.0,"human toxicity: carcinogenic, inorganics",comparative toxic unit for human (CTUh),,LCIA_Implementation_3.9.xlsx,CTUh,ef-v30hc.28da446d9ac748a6b693dc4e3ef8b4b6,4
EF v3.0,"human toxicity: carcinogenic, metals",comparative toxic unit for human (CTUh),,LCIA_Implementation_3.9.xlsx,CTUh,ef-v30hc.d368d25001515847b4626d90d4f52e9e,92
EF v3.0,"human toxicity: carcinogenic, organics",comparative toxic unit for human (CTUh),,LCIA_Implementation_3.9.xlsx,CTUh,ef-v30hc.545cce2217f5c17d646465a1f77b626b,382
EF v3.0,human toxicity: non-carcinogenic,comparative toxic unit for human (CTUh),,LCIA_Implementation_3.9.xlsx,CTUh,ef-v30hc.edbe219f8da59f1246ad7172adcc9bd8,2057
EF v3.0,"human toxicity: non-carcinogenic, inorganics",comparative toxic unit for human (CTUh),,LCIA_Implementation_3.9.xlsx,CTUh,ef-v30hc.a17bdbd8893590cd7965105a2fb0bacc,195
EF v3.0,"human toxicity: non-carcinogenic, metals",comparative toxic unit for human (CTUh),,LCIA_Implementation_3.9.xlsx,CTUh,ef-v30hc.d2f17a20e0a23629727771f7471706e3,270
EF v3.0,"human toxicity: non-carcinogenic, organics",comparative toxic unit for human (CTUh),,LCIA_Implementation_3.9.xlsx,CTUh,ef-v30hc.ea2fdf9988e430505b9622056f2d38e2,1597
EF v3.0,ionising radiation: human health,human exposure efficiency relative to u235,,LCIA_Implementation_3.9.xlsx,kBq U235-Eq,ef-v30ih.c448704a7fe4e093f19d127b65f664b2,195
EF v3.0,land use,soil quality index,,LCIA_Implementation_3.9.xlsx,dimensionless,ef-v30ls.8c9c1ca2ad5c69fd5a489c7b8e5cc6a5,155
EF v3.0,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),,LCIA_Implementation_3.9.xlsx,kg Sb-Eq,ef-v30ma.f98bbf57c80a1a8051cb4be3fdcef343,148
EF v3.0,ozone depletion,ozone depletion potential (ODP),,LCIA_Implementation_3.9.xlsx,kg CFC-11-Eq,ef-v30oo.c57d1293fde5d8985580f091e2985f25,75
EF v3.0,particulate matter formation,impact on human health,,LCIA_Implementation_3.9.xlsx,disease incidence,ef-v30pi.e84324654a70645b984a777d5550627d,27
EF v3.0,photochemical oxidant formation: human health,tropospheric ozone concentration increase,,LCIA_Implementation_3.9.xlsx,kg NMVOC-Eq,ef-v30pt.764c8d6d08f40d8d36ee8b28987abb12,311
EF v3.0,water use,user deprivation potential (deprivation-weighted water consumption),,LCIA_Implementation_3.9.xlsx,m3 world eq. deprived,ef-v30wu.2041cdbbda531c8da8275ae88de50185,5
EF v3.1 no LT,acidification no LT,accumulated exceedance (AE) no LT,,LCIA_Implementation_3.9.xlsx,mol H+-Eq,ef-v31-no-ltaa.549beb1e182803cc772b2c3237d6ba68,18
EF v3.1 no LT,climate change no LT,global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ef-v31-no-ltcg.fe655fe5ddc1d5833e66d936a2f07317,181
EF v3.1 no LT,climate change: biogenic no LT,global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ef-v31-no-ltcg.8cd6f28db387a3623858517d9ef10661,4
EF v3.1 no LT,climate change: fossil no LT,global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ef-v31-no-ltcg.13b9e38bfc7a64dcf0b5f426e2598746,165
EF v3.1 no LT,climate change: land use and land use change no LT,global warming potential (GWP100) no LT,,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ef-v31-no-ltcg.d7cd409ea36523af0f5c0d4c070c9ca1,12
EF v3.1 no LT,ecotoxicity: freshwater no LT,comparative toxic unit for ecosystems (CTUe) no LT,,LCIA_Implementation_3.9.xlsx,CTUe,ef-v31-no-ltec.ca16a97f1c1c6b72f05f407735da9c94,2474
EF v3.1 no LT,"ecotoxicity: freshwater, inorganics no LT",comparative toxic unit for ecosystems (CTUe) no LT,,LCIA_Implementation_3.9.xlsx,CTUe,ef-v31-no-ltec.9acf06a0466d4e96a48b1626f8c57e94,616
EF v3.1 no LT,"ecotoxicity: freshwater, organics no LT",comparative toxic unit for ecosystems (CTUe) no LT,,LCIA_Implementation_3.9.xlsx,CTUe,ef-v31-no-ltec.83489f1620ca3f021fd43f02697f62ca,1858
EF v3.1 no LT,energy resources: non-renewable no LT,abiotic depletion potential (ADP): fossil fuels no LT,,LCIA_Implementation_3.9.xlsx,"MJ, net calorific value",ef-v31-no-ltea.26d412b159cadb7fc4e3e66e19d572a5,7
EF v3.1 no LT,eutrophication: freshwater no LT,fraction of nutrients reaching freshwater end compartment (P) no LT,,LCIA_Implementation_3.9.xlsx,kg P-Eq,ef-v31-no-ltef.472e602c7b552cfc31d2ba8268449a3b,11
EF v3.1 no LT,eutrophication: marine no LT,fraction of nutrients reaching marine end compartment (N) no LT,,LCIA_Implementation_3.9.xlsx,kg N-Eq,ef-v31-no-ltef.5a267d674a5d2c7a7f299ba63b0d41ea,29
EF v3.1 no LT,eutrophication: terrestrial no LT,accumulated exceedance (AE) no LT,,LCIA_Implementation_3.9.xlsx,mol N-Eq,ef-v31-no-ltea.4bd2fce21732d256f011d795d8fa4a2d,13
EF v3.1 no LT,human toxicity: carcinogenic no LT,comparative toxic unit for human (CTUh) no LT,,LCIA_Implementation_3.9.xlsx,CTUh,ef-v31-no-lthc.eca9327b6cd47f85b526892290b2fdf2,479
EF v3.1 no LT,"human toxicity: carcinogenic, inorganics no LT",comparative toxic unit for human (CTUh) no LT,,LCIA_Implementation_3.9.xlsx,CTUh,ef-v31-no-lthc.0bd3111e6ba6d53b00488fc84d18fb10,96
EF v3.1 no LT,"human toxicity: carcinogenic, organics no LT",comparative toxic unit for human (CTUh) no LT,,LCIA_Implementation_3.9.xlsx,CTUh,ef-v31-no-lthc.6745b378b1a94f33b48f219ab2bd099a,383
EF v3.1 no LT,human toxicity: non-carcinogenic no LT,comparative toxic unit for human (CTUh) no LT,,LCIA_Implementation_3.9.xlsx,CTUh,ef-v31-no-lthc.1536477bba9fb806190d3f746d04abde,2026
EF v3.1 no LT,"human toxicity: non-carcinogenic, inorganics no LT",comparative toxic unit for human (CTUh) no LT,,LCIA_Implementation_3.9.xlsx,CTUh,ef-v31-no-lthc.626be3bc72a0bb1e44ecf466d3a40663,420
EF v3.1 no LT,"human toxicity: non-carcinogenic, organics no LT",comparative toxic unit for human (CTUh) no LT,,LCIA_Implementation_3.9.xlsx,CTUh,ef-v31-no-lthc.7581f972a8bdb39e1bdc6fb57130a4fa,1606
EF v3.1 no LT,ionising radiation: human health no LT,human exposure efficiency relative to u235 no LT,,LCIA_Implementation_3.9.xlsx,kBq U235-Eq,ef-v31-no-ltih.1e4a673ba20aad1f94aae50cbd5e3ed0,156
EF v3.1 no LT,land use no LT,soil quality index no LT,,LCIA_Implementation_3.9.xlsx,dimensionless,ef-v31-no-ltls.5ea1635c4588e7dd7d5df3778009845b,155
EF v3.1 no LT,material resources: metals/minerals no LT,abiotic depletion potential (ADP): elements (ultimate reserves) no LT,,LCIA_Implementation_3.9.xlsx,kg Sb-Eq,ef-v31-no-ltma.4e3dae13631d440d5aa38a63a3d024c5,148
EF v3.1 no LT,ozone depletion no LT,ozone depletion potential (ODP) no LT,,LCIA_Implementation_3.9.xlsx,kg CFC-11-Eq,ef-v31-no-ltoo.7bc5bbd1b873d0e481cf0c660b2cdef6,60
EF v3.1 no LT,particulate matter formation no LT,impact on human health no LT,,LCIA_Implementation_3.9.xlsx,disease incidence,ef-v31-no-ltpi.e2717f9ada4df0afec63384ff3b681d7,21
EF v3.1 no LT,photochemical oxidant formation: human health no LT,tropospheric ozone concentration increase no LT,,LCIA_Implementation_3.9.xlsx,kg NMVOC-Eq,ef-v31-no-ltpt.e474f8e888890de593b40c40a06c5451,250
EF v3.1 no LT,water use no LT,user deprivation potential (deprivation-weighted water consumption) no LT,,LCIA_Implementation_3.9.xlsx,m3 world eq. deprived,ef-v31-no-ltwu.f8a0e4eddf63fcc0870d2ee590adaf8f,4
EF v3.1,acidification,accumulated exceedance (AE),,LCIA_Implementation_3.9.xlsx,mol H+-Eq,ef-v31aa.3561cd671a473310747f754fe860108c,22
EF v3.1,climate change,global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ef-v31cg.1c397559135d78f19a1915a0ca4f626a,223
EF v3.1,climate change: biogenic,global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ef-v31cg.a709ef67df83f4dc46415ed8f4bf30fc,5
EF v3.1,climate change: fossil,global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ef-v31cg.5a41d0cb0834ca96503051836e34f145,204
EF v3.1,climate change: land use and land use change,global warming potential (GWP100),,LCIA_Implementation_3.9.xlsx,kg CO2-Eq,ef-v31cg.9bcefb126c208e865d34ca72c54b3b0c,14
EF v3.1,ecotoxicity: freshwater,comparative toxic unit for ecosystems (CTUe),,LCIA_Implementation_3.9.xlsx,CTUe,ef-v31ec.2b1bb91ef6b650e3a6e7f85f6f38e48c,2474
EF v3.1,"ecotoxicity: freshwater, inorganics",comparative toxic unit for ecosystems (CTUe),,LCIA_Implementation_3.9.xlsx,CTUe,ef-v31ec.c35b23fa611c0ee9ef0195e29a5e76c4,616
EF v3.1,"ecotoxicity: freshwater, organics",comparative toxic unit for ecosystems (CTUe),,LCIA_Implementation_3.9.xlsx,CTUe,ef-v31ec.7738317ea31d521f4447bb94aeb2cd45,1858
EF v3.1,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,,LCIA_Implementation_3.9.xlsx,"MJ, net calorific value",ef-v31ea.41ac072e6f84d10be5190f984e74e66d,7
EF v3.1,eutrophication: freshwater,fraction of nutrients reaching freshwater end compartment (P),,LCIA_Implementation_3.9.xlsx,kg P-Eq,ef-v31ef.5f477386ad531bc81b206ca5adb1457d,13
EF v3.1,eutrophication: marine,fraction of nutrients reaching marine end compartment (N),,LCIA_Implementation_3.9.xlsx,kg N-Eq,ef-v31ef.f6f366fc261423655cb0db33db455bde,36
