iteration,mtow:k,loading:k,ND:k,propeller:beta,advance_ratio:climb,advance_ratio:cruise,torque:k,speed:k,energy:k,voltage:k,power:k,wing:AR,wing:lambda,x:k,horizontal:AR,vertical:AR,arm:k,depth:k,CD0:guess,K:guess,c:mtow:consistency,c:mtow:requirement,c:airspeed:climb,c:airspeed:cruise,c:rpm:climb,c:rpm:cruise,c:torque:climb,c:torque:cruise,c:power:takeoff,c:power:climb,c:power:cruise,c:voltage:climb,c:voltage:cruise,c:voltage:min,c:voltage:max,c:fuselage:volume,c:spar:depth,c:CD0:consistency,c:K:consistency,c:static_margin:min,obj:endurance:cruise
0,2.002226679997424,0.955,0.8232446657954471,0.55,0.10000139843777771,0.2000031860594563,2.1385966359674975,1.0293684760244195,1.0,1.1,1.7683161635779012,8.6,0.5770846918947122,0.9505,6.0,4.0,0.6475386335923281,0.09474002266018944,0.057,0.05,-0.7141109706890725,0.1898795483007586,0.5431881572839041,0.49382515287385387,-0.6785502267886295,-0.06281739367728535,-0.4366525640105814,0.31200514369706195,0.9947149690531106,-0.6995608431608135,0.31864864546418753,-0.3762322593540762,0.1869575110674128,0.961463560012127,0.5195154089287676,46.654162183849195,0.6200201054663838,-0.2462841081673114,-0.08067402625329959,14.16919747432973,167.88362297022192
1,2.002226679997424,0.955,0.8232446657954471,0.55,0.10000139843777771,0.2000031860594563,2.1385966359674975,1.0293684760244195,1.0,1.1,1.7683161635779012,8.6,0.5770846918947122,0.9505,6.0,4.0,0.6475386335923281,0.09474002266018944,0.057,0.05,-0.7141109706890725,0.1898795483007586,0.5431881572839041,0.49382515287385387,-0.6785502267886295,-0.06281739367728535,-0.4366525640105814,0.31200514369706195,0.9947149690531106,-0.6995608431608135,0.31864864546418753,-0.3762322593540762,0.1869575110674128,0.961463560012127,0.5195154089287676,46.654162183849195,0.6200201054663838,-0.2462841081673114,-0.08067402625329959,14.16919747432973,167.88362297022192
2,5.657269391104268,1.0,0.4640027403891465,0.48000000000037674,0.2048077991088076,0.4054220911923204,3.3334150441339885,0.8997200615718759,0.1,1.0,2.8717977359713798,10.687308833395733,1.0,0.010000000000000009,6.0,4.0,0.17107813764191865,0.01,0.010000000002158206,0.052926291411200296,0.44556717761500264,1.129365302231135,0.3289403810028332,0.36733729506565305,-0.20397557176071174,0.34467032950675225,-0.4678300171085863,0.5780655668145832,0.9520681556996357,-0.6507809137781331,0.5988253597316995,-0.36659756020182854,0.36430587172233814,0.8100173336881116,0.24459364782466753,-0.33930547757805246,-0.545876016683241,-0.5567037412004253,0.6133809779168315,-8.600990536323916,18.08396803073879
3,7.450565784189735,0.9999999999974519,0.010000000022043709,0.48000000000437476,0.4641408625966847,0.7640807888287569,8.468836787526525,0.7205710701989441,0.10000000005944074,1.0000000000066078,4.5311894263405295,8.0,0.9999999999721068,1.0,6.0,4.0,0.15000000003019548,0.02650440531914576,0.029153103677653544,0.03608504212538893,-0.9983173127305728,-0.9981179424062466,0.9554695969064573,-617.1474968947954,0.964745879762426,-338.74090672562545,0.2534334926476801,0.6389058883926796,0.9739825725027287,-0.34071098648304166,0.4597938772953964,-0.9918834317435555,-526.0607244706018,0.9732169505331079,-0.8538951032492507,197.41092855407018,0.03248053727138951,-0.42141905499410276,-0.27334279280707574,82.09232892674729,0.01362802160326995
4,6.12709545207062,0.9999999999993324,0.3450584766316052,0.4800000000014242,0.2727505174272285,0.49938715117435867,4.678845157305515,0.8527847834620358,0.10000000001557287,1.0000000000017313,3.306542078564432,9.983260284219721,0.9999999999926923,0.26937028711489786,6.0,4.0,0.16555587238515102,0.01432399226897725,0.015017925254132581,0.048514049327731144,0.19010229677024815,0.618633040293259,0.29795893407941193,0.2871313529419185,0.054198510131422996,0.40053040985526533,-0.11033483531060578,0.6417015856881121,0.9606334514854501,-0.5094509938584816,0.5880668224417198,-0.3064604127627261,0.2934707579956271,0.8134645924432777,0.16634097141185886,10.114423672622017,-0.3995468743256169,-0.4577239008504038,0.3597658413239697,-1.6992529872306712,15.21150692030751
5,6.530437549384922,0.9999999999997811,0.34260085532103696,0.48000000000033394,0.36899588298258496,0.5740331159236236,5.349513137515283,0.8396278476927268,1.3882215921027523,1.0000000000004634,4.554755524095319,8.746142383650628,0.9999999999980381,0.3258303592619576,6.0,4.0,0.15000000000186264,0.027208977818584952,0.02858265890642803,0.03924606182433006,-0.03644526564794135,0.22956888042263512,-0.023565951356197497,-0.08832353200408272,-0.019289076883917605,0.20381117235346916,-0.021996583429700897,0.6000295901445467,0.9968473610253349,-0.1486518433853469,0.6219527992791181,-0.08639516813714564,0.2575445160842003,0.7165901846697001,0.028036511284479704,11.496548976886308,-0.010844010836060602,-0.010986369828442446,-0.03492186689052898,-0.4237701375195422,112.3828798871096
6,7.7140170175341645,0.9999999999999449,0.25682870563398696,0.48000000000008036,0.4289741997579375,0.6035149366971864,5.920816286870018,0.8912299167723204,1.5935160383401645,1.0000000000001115,5.380355413108046,8.723301959897597,0.9999999999995305,0.3090205913053974,6.0,4.0,0.1741374744131406,0.02760630669315179,0.027672729547764,0.04473282164989728,-0.026289630751080744,0.051884259346384055,0.04697263472548003,0.024345352828715527,0.18364838092085792,0.3211042321716798,0.05509920504832004,0.619861842459227,0.9972978774960821,0.005025599863948074,0.6638288579236097,-0.028398594422598802,0.2757576109072206,0.6773693242445291,-0.00040479619963834906,14.045121766715367,-8.345224442888525e-06,0.0033266333522104876,0.09695761706112412,0.5382044397513464,111.93669012065313
7,8.111560594328695,0.9999999999999911,0.2664330176302965,0.4885473500729399,0.428384296632826,0.6050810292696462,6.052471544309288,0.9141525123950498,1.643429826636485,1.000929800850178,5.637279505674817,8.757567580751601,0.9999999999999187,0.30207116791869326,6.0,4.0,0.1749369238279218,0.027721237353051327,0.027460060229422625,0.04077898813418773,-0.0004725526930034757,0.02685485701094029,-0.0014436350460045638,0.009103010110369292,0.1409943345155234,0.3122826530094632,0.033797612719287884,0.626746357784876,0.9973217457118453,0.008900896082241934,0.6781868335013436,-0.0022064088235148873,0.31489920029801216,0.6552042159323707,0.013502344733507605,14.557669792843631,-6.218123952380114e-07,0.00646993977732811,0.004446607933692698,0.014898468192704462,114.46452128712538
8,8.327533414136381,0.9999999999999919,0.26732721069912985,0.4925664812909871,0.42736329735946094,0.6070503097743906,6.152927835886883,0.9245508565996503,1.7080173771464315,1.0014068734178723,5.807949364724366,8.731201071141204,0.9999999999999264,0.3024092526772347,6.0,4.0,0.17562858508010126,0.02807061293568266,0.027204930390210477,0.040598462688098004,-5.791860519142374e-06,0.000690679149105904,-6.171357462328839e-05,0.009960703299919493,0.14013031204118293,0.31510695678287975,0.04578704513890361,0.6332607634687144,0.9973663035066882,0.034669113761271145,0.6880678717054045,0.026151458938213974,0.33527612480986685,0.6426397740657298,0.01398771449402583,15.079540816328384,0.009957378273673372,-5.871438246534354e-05,-0.0029871082059266165,0.0007905694904493388,117.18798914327921
9,8.333329330206954,0.9999999999999922,0.2696939520513196,0.49106961184980147,0.4232687196954776,0.6048020526189475,6.161147630008234,0.9252396363888814,1.7112673033926502,1.0016847211225364,5.815323971987951,8.726053975991839,0.9964111696231668,0.3038203769735255,6.0,4.0,0.17735773871718197,0.02806229383172591,0.027214557951599133,0.04072009802707535,-3.749992834220312e-05,-3.701957095999094e-05,0.006816097905190713,0.010036611580273358,0.13778304808529274,0.31261368119703425,0.05324767589137111,0.6353040815280795,0.9973502187313968,0.04217339295381129,0.689759887135378,0.03443159671536028,0.3389386958471117,0.6407693133633722,0.014571910277421293,15.302103990777857,0.0085512768302447,-2.4162246726684256e-05,-0.0007236354665981225,0.0002853899047813857,117.48773821650805
