TYPE;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Max_burst_current_A;Energy_density_Wh_kg;Imax_A;Pmax_W_kg;Pvol_Wh_m3;Weight_kg;Volume_cm3;Energy_kJ;Capacity_As;n_series;n_parallel
KOKAM;KOKAM SLPB526495;3.7;9900;2;3;;182.238806;29.700000000000003;546.7164179;367078.3897;0.201;99.78795;131.868;35640.0;1;3
KOKAM;KOKAM SLPB050106100;3.7;15000;2;5;;154.1666667;75.0;770.8333333;287300.0935;0.36;193.1778;199.79999999999998;54000.0;1;3
KOKAM;KOKAM SLPB776495;3.7;15900;2;3;;192.254902;47.7;576.7647059;408150.0977;0.306;144.13815;211.788;57240.0;1;3
KOKAM;KOKAM SLPB68106100;3.7;24000;2;3;;185.0;72.0;555.0;374084.5355;0.48;237.37949999999998;319.68;86400.0;1;3
KOKAM;KOKAM SLPB7570180;3.7;28800;2;3;;165.2093023;86.4;495.627907;311454.3656;0.645;342.1368;383.616;103680.0;1;3
KOKAM;KOKAM SLPB98106100;3.7;30000;2;3;;176.1904762;90.0;528.5714286;339014.1103;0.63;327.42;399.59999999999997;108000.0;1;3
KOKAM;KOKAM SLPB7570270;3.7;45000;2;3;;175.0788644;135.0;525.2365931;323161.4153;0.9510000000000001;515.2223999999999;599.4000000000001;162000.0;1;3
ProLiteX;TP500-2SPX25J;7.4;1500;25;50;25.0;123.3333333;75.0;6166.666667;258560.4472;0.09;42.93;39.96;5400.0;1;3
ProLiteX;TP500-3SPX25J;11.1;1500;25;50;25.0;126.1363636;75.0;6306.818182;268505.0798;0.132;62.010000000000005;59.94;5400.0;1;3
ProLiteX;TP750-2SPX25J;7.4;2250;25;50;37.5;142.3076923;112.5;7115.384615;271260.9971;0.11699999999999999;61.38;59.94;8100.0;1;3
ProLiteX;TP750-3SPX25J;11.1;2250;25;50;37.5;146.0526316;112.5;7302.631579;271260.9971;0.171;92.07000000000001;89.91;8100.0;1;3
ProLiteX;TP910-2SPX25J;7.4;2730;25;50;22.7;143.2765957;136.5;7163.829787;291830.9859;0.14100000000000001;69.225;72.7272;9828.0;1;3
ProLiteX;TP910-3SPX25J;11.1;2730;25;50;45.5;146.3913043;136.5;7319.565217;299510.7487;0.20700000000000002;101.17500000000001;109.0908;9828.0;1;3
ProLiteX;TP1350-2SPX25J;7.4;4050;25;50;67.5;163.7704918;202.5;8188.52459;332379.5582;0.183;90.168;107.892;14580.0;1;3
ProLiteX;TP1350-3SPX25J;11.1;4050;25;50;67.5;159.4148936;202.5;7970.744681;324070.0692;0.28200000000000003;138.72;161.838;14580.0;1;3
ProLiteX;TP1350-2SPX25;7.4;4050;25;50;67.5;156.09375;202.5;7804.6875;332379.5582;0.192;90.168;107.892;14580.0;1;3
ProLiteX;TP1350-3SPX25;11.1;4050;25;50;67.5;157.7368421;202.5;7886.842105;324070.0692;0.28500000000000003;138.72;161.838;14580.0;1;3
ProLiteX;TP1350-4SPX25;14.8;4050;25;50;67.5;158.5714286;202.5;7928.571429;332379.5582;0.378;180.336;215.784;14580.0;1;3
ProLiteX;TP1350-5SPX25;18.5;4050;25;50;67.5;159.0764331;202.5;7953.821656;337572.9888;0.471;221.952;269.73;14580.0;1;3
ProLiteX;TP2200-2SPX25;7.4;6600;25;50;110.0;152.1495327;330.0;7607.476636;325730.2921;0.321;149.94;175.82399999999998;23760.0;1;3
ProLiteX;TP2200-3SPX25;11.1;6600;25;50;110.0;161.7218543;330.0;8086.092715;325730.2921;0.45299999999999996;224.91;263.736;23760.0;1;3
ProLiteX;TP2200-4SPX25;14.8;6600;25;50;110.0;165.2791878;330.0;8263.959391;337794.377;0.591;289.17;351.64799999999997;23760.0;1;3
ProLiteX;TP2800-2SPX25;7.4;8400;25;50;140.0;168.4552846;420.0;8422.764228;351448.5379;0.369;176.868;223.776;30240.0;1;3
ProLiteX;TP2800-3SPX25;11.1;8400;25;50;140.0;171.7127072;420.0;8585.635359;373414.0715;0.5429999999999999;249.696;335.664;30240.0;1;3
ProLiteX;TP2800-3SPX25EJ;11.1;8400;25;50;140.0;171.7127072;420.0;8585.635359;373414.0715;0.5429999999999999;249.696;335.664;30240.0;1;3
ProLiteX;TP2800-3SPX25XJ;11.1;8400;25;50;140.0;171.7127072;420.0;8585.635359;373414.0715;0.5429999999999999;249.696;335.664;30240.0;1;3
ProLiteX;TP2800-4SPX25;14.8;8400;25;50;140.0;177.0940171;420.0;8854.700855;373414.0715;0.7020000000000001;332.928;447.552;30240.0;1;3
ProLiteX;TP2800-5SPX25;18.5;8400;25;50;140.0;178.6206897;420.0;8931.034483;373414.0715;0.8699999999999999;416.15999999999997;559.4399999999999;30240.0;1;3
ProLiteX;TP2800-6SPX25;22.2;8400;25;50;140.0;177.0940171;420.0;8854.700855;373414.0715;1.053;499.392;671.328;30240.0;1;3
ProLiteX;TP3400-2SPX25;7.4;10200;25;50;170.0;151.5662651;510.0;7578.313253;333399.5892;0.498;226.395;271.72799999999995;36720.0;1;3
ProLiteX;TP3400-3SPX25;11.1;10200;25;50;170.0;149.7619048;510.0;7488.095238;342173.2626;0.756;330.885;407.592;36720.0;1;3
ProLiteX;TP3400-4SPX25;14.8;10200;25;50;170.0;154.3558282;510.0;7717.791411;333399.5892;0.978;452.79;543.4559999999999;36720.0;1;3
ProLiteX;TP3400-5SPX25;18.5;10200;25;50;170.0;154.5454545;510.0;7727.272727;338608.9578;1.2209999999999999;557.28;679.3199999999999;36720.0;1;3
ProLiteX;TP3400-6SPX25;22.2;10200;25;50;170.0;157.9079498;510.0;7895.39749;342173.2626;1.434;661.77;815.184;36720.0;1;3
ProLiteX;TP3400-6SPX25L;22.2;10200;25;50;170.0;154.6721311;510.0;7733.606557;340910.6306;1.464;664.221;815.184;36720.0;1;3
ProLiteX;TP3400-7SPX25;25.9;10200;25;50;170.0;161.2820513;510.0;8064.102564;344765.4843;1.6380000000000001;766.26;951.048;36720.0;1;3
