Ref.;TYPE;Model;Kv_rpm_v;Pole (number);Io (A);r_omn;weight_g;Imax (A);No s;Voltage;Inom_max (A);Eta_max (%);Kt_Nm_A;Tnom_Nm;Rend nom;Icc;I opt;Eta opt;Cf_Nm;Tmax_Nm;Estim -->;M*;R*;Cf*;Dominated
111;KDEDirect;KDE3520XF-400;400;12;0.3;0.078;190;45;4;14.8;;;0.023873241;1.074295866;75.77522523;189.7435897;7.54473836;;0.007161972;1.074295866;;;;;0
112;KDEDirect;KDE4215XF-465;465;24;0.7;0.052;195;62;4;14.8;;;0.020536122;1.273239545;77.3331299;284.6153846;14.11491301;;0.014375285;1.273239545;;;;;0
113;KDEDirect;KDE5215XF-435;435;24;1.4;0.031;305;72;4;14.8;;;0.021952406;1.580573228;83.26771772;477.4193548;25.85318349;;0.030733368;1.580573228;;;;;0
114;KDEDirect;KDE5215XF-330;330;24;0.7;0.044;305;62;4;14.8;;;0.028937262;1.794110268;80.64664342;336.3636364;15.34452819;;0.020256084;1.794110268;;;;;0
115;KDEDirect;KDE5215XF-220;220;24;0.5;0.078;305;44;6;22.2;;;0.043405894;1.909859317;83.57985258;284.6153846;11.92927878;;0.021702947;1.909859317;;;;;0
116;KDEDirect;KDE6213XF-185;185;24;0.6;0.072;360;62;6;22.2;;;0.051617819;3.200304802;79.11874455;308.3333333;13.60147051;;0.030970692;3.200304802;;;;;0
117;maxon EC ;EC 4 ?4 mm, brushless,0.5 Watt;12200;2;0.0234;0.0231;1.2;0.468;0.810810811;3;;;0.000784;0.000215;94.657658;129.8701299;1.743261609;;1.83E-05;0.000366317;;;;;0
118;maxon EC ;EC 4 ?4 mm, brushless,0.5 Watt;6240;2;0.0121;0.0881;1.2;0.263;1.621621622;6;;;0.00153;0.000222;95.03083471;68.10442679;0.907779469;;1.85E-05;0.000402478;;;;;0
119;maxon EC ;EC 4 ?4 mm, brushless,1.0 Watt;14200;2;0.0776;0.00946;1.8;1.15;0.810810811;3;;;0.000671;0.000319;92.91401045;317.1247357;4.960733766;;5.21E-05;0.000773359;;;;;0
120;maxon EC ;EC 4 ?4 mm, brushless,1.0 Watt;5360;2;0.0248;0.0668;1.8;0.358;1.621621622;6;;;0.00178;0.000341;92.70166303;89.82035928;1.492496201;;4.41E-05;0.000637807;;;;;0
123;maxon EC ;EC 6 ?6 mm, brushless, 2 Watt;25800;2;0.209;0.005;3;3.92;0.810810811;3;;;0.00037;0.000394;94.04986735;600;11.19821414;;7.73E-05;0.001450901;;;;;0
124;maxon EC ;EC 6 ?6 mm, brushless, 2 Watt;10800;2;0.0783;0.03;3;1.72;1.621621622;6;;;0.000882;0.000398;94.62682442;200;3.957271787;;6.91E-05;0.001520814;;;;;0
125;maxon EC ;EC 6 ?6 mm, brushless, 2 Watt;5460;2;0.0398;0.118;3;0.97;3.243243243;12;;;0.00175;0.00041;94.98221055;101.6949153;2.011829423;;6.97E-05;0.001696487;;;;;0
126;maxon EC ;EC 8 ?8 mm, brushless, 2 Watt;6200;2;0.0692;0.039;6;1.98;1.621621622;6;;;0.00154;0.000977;95.26303051;153.8461538;3.262844441;;0.000106568;0.003049614;;;;;0
127;maxon EC ;EC 8 ?8 mm, brushless, 2 Watt;3770;2;0.046;0.106;6;1.54;3.243243243;12;;;0.00253;0.000942;95.69328701;113.2075472;2.282005077;;0.00011638;0.003900774;;;;;0
128;maxon EC ;EC 8 ?8 mm, brushless, 2 Watt;1830;2;0.0221;0.447;6;0.755;6.486486486;24;;;0.00521;0.000944;95.70782143;53.69127517;1.089301235;;0.000115141;0.003939737;;;;;0
