,models:weight:propulsion:multirotor:battery:mass:reference,mission:sizing:main_route:hover:duration,data:performance:endurance:hover,data:performance:range:cruise,data:propulsion:multirotor:battery:energy,data:weight:mtow,data:weight:propulsion:multirotor:battery:mass,optim_failed
0,0.5,10.0,10.000000000339211,11662.036423694703,1301.929128717582,10.313718523300262,1.3913780401636209,0.0
1,0.5555555555555556,10.0,9.999999994770263,11681.159786116303,1339.2779812076376,10.616811071262026,1.5903254909483517,0.0
2,0.6111111111111112,10.0,9.999999998771132,11700.734347408526,1379.1192341719452,10.940318286877403,1.8013984806212213,0.0
3,0.6666666666666666,10.0,9.999999831918933,11720.796045984536,1421.738637157262,11.286592244455305,2.0258920653039425,0.0
4,0.7222222222222222,10.0,9.999999888658655,11741.386829451532,1467.471430587564,11.658392825476142,2.2653134247430278,0.0
5,0.7777777777777778,10.0,9.999999921545738,11762.554373428886,1516.7140403832964,12.058985848393462,2.521430687762207,0.0
6,0.8333333333333333,10.0,9.99999994140878,11784.354697344064,1569.9400196241666,12.492273866113765,2.7963376545065266,0.0
7,0.8888888888888888,10.0,10.000000000000805,10952.863408408177,1194.1975724080894,12.550899328877707,2.2688796408545255,0.0
8,0.9444444444444444,10.0,9.999999979335092,10974.490909137723,1229.6513896015867,12.934080383704677,2.4822539916397557,0.0
9,1.0,10.0,9.999999983207866,10996.832032679027,1267.8445982893195,13.347160594008667,2.709903470916948,0.0
10,0.5,13.333333333333334,13.333333333309373,14496.3544023487,1431.9907616882629,11.253809310836523,1.5303755447063443,0.0
11,0.5555555555555556,13.333333333333334,13.333333328825285,14530.920721954066,1480.9725529940586,11.649867811990006,1.7585806945751334,0.0
12,0.6111111111111112,13.333333333333334,13.333332833821924,14566.69275297139,1534.1736728118017,12.080399803428568,2.003929794273098,0.0
13,0.6666666666666666,13.333333333333334,13.33333300103421,14603.817502813941,1592.2633701802433,12.550899172358541,2.2688795557895927,0.0
14,0.7222222222222222,13.333333333333334,13.333333094165715,14642.472992620536,1656.0800790936507,13.068254333706044,2.5564657392466272,0.0
15,0.7777777777777778,13.333333333333334,13.333333146962016,14682.882934780548,1726.6951022818957,13.64127075936388,2.8705094720439317,0.0
16,0.8333333333333333,13.333333333333334,13.33333317670783,14725.333517468629,1805.5089399082772,14.281466137170373,3.2159270870885432,0.0
17,0.8888888888888888,13.333333333333334,13.333333190112231,14770.201196222743,1894.4047011738176,15.004335980221985,3.5992170452709424,0.0
18,0.9444444444444444,13.333333333333334,13.333333189494374,14817.998780495076,1996.0053109680523,15.831476221925646,4.029265686504785,0.0
19,1.0,13.333333333333334,13.333333170889341,14869.457136979274,2114.134594136698,16.794389579221356,4.518772002788674,0.0
20,0.5,16.666666666666668,16.666666660211348,18219.80171013751,1935.2605251308046,12.194035957075025,2.0682224072479616,0.0
21,0.5555555555555556,16.666666666666668,16.666664739692518,18278.67463524881,2029.2437921454448,12.803221335164514,2.409625316984339,0.0
22,0.6111111111111112,16.666666666666668,16.666665317637054,18340.750729095176,2135.41753278753,13.49222399763418,2.7892714449487346,0.0
23,0.6666666666666666,16.666666666666668,16.666665600950108,18406.665880460536,2256.885952716632,14.281465505453538,3.215926770511485,0.0
24,0.7222222222222222,16.666666666666668,16.666665711411124,18477.313998453024,2398.111924740738,15.200323303574509,3.70192906241208,0.0
25,0.7777777777777778,16.666666666666668,16.66666567294787,18554.01486961226,2565.8723766528674,16.29344058680283,4.265582818590448,0.0
26,0.8333333333333333,16.666666666666668,16.666665418740997,18638.870463897223,2771.275156391176,17.634047414706487,4.9361255678228195,0.0
27,0.8888888888888888,16.666666666666668,16.666666666681273,18735.634863583888,3034.7413995227776,19.356879953829853,5.76576534379577,0.0
