Product Name;Product Code (SKU);Categories;Price ($);Hub Diameter;Hub Thickness;Shaft Diameter;Weight;Diameter (INCHES);Pitch (INCHES);Diameter (METERS);Pitch (-);Weight (grams);Weight (KG);Ct_static;Cp_static
12x5.5MR;LP12055MR;Multi Rotor (Electric Only);3.95;0.65 in.;0.36 in.;1/4 in.;0.78 oz.;12;5.5;0.3048;0.458333333;22.1;0.0221;0.1095;0.0431
13x4.5MR;LP13045MR;Multi Rotor (Electric Only);4.65;0.65 in.;0.36 in.;1/4 in.;0.85 oz.;13;4.5;0.3302;0.346153846;24.1;0.0241;0.0901;0.0314
13x4.7SF;LP13047SF;Multi Rotor (Electric Only), Slow Fly (Electric Only);4.84;0.50 in.;0.30 in.;1/4 in.;0.78 oz.;13;4.7;0.3302;0.361538462;22.1;0.0221;0.1266;0.0538
13x5.5MR;LP13055MR;Multi Rotor (Electric Only);4.65;0.65 in.;0.36 in.;1/4 in.;0.85 oz.;13;5.5;0.3302;0.423076923;24;0.024;0.0995;0.0372
14x4.7SF;LP14047SF;Multi Rotor (Electric Only), Slow Fly (Electric Only);5.75;0.50 in.;0.30 in.;1/4 in.;0.88 oz.;14;4.7;0.3556;0.335714286;24.9;0.0249;0.1207;0.0496
14x5.5MR;LP14055MR;Multi Rotor (Electric Only);5.49;0.65 in.;0.38 in.;1/4 in.;1.06 oz.;14;5.5;0.3556;0.392857143;30.1;0.0301;0.0963;0.0346
14x8.5E;LPB14085E;Thin Electric, Multi Rotor (Electric Only);5.99;0.80 in.;0.44 in.;1/4 in.;1.31 oz.;14;8.5;0.3556;0.607142857;37;0.037;0.093;0.0388
15x5.5MR;LP15055MR;Multi Rotor (Electric Only);6.49;0.80 in.;0.36 in.;1/4 in.;1.27 oz.;15;5.5;0.381;0.366666667;36;0.036;0.0951;0.034
16x5.5MR;LP16055MR;Multi Rotor (Electric Only);7.69;0.80 in.;0.37 in.;1/4 in.;1.55 oz.;16;5.5;0.4064;0.34375;44;0.044;0.0897;0.0313
16x7C;LP16070C;Sport, Thin Electric, Multi Rotor (Electric Only);65;1.25 in.;0.61 in.;5/16 in.;2.61 oz.;16;7;0.4064;0.4375;74;0.074;0.0954;0.0354
18x5.5MR;LP18055MR;Multi Rotor (Electric Only);10.72;1.00 in.;0.41 in.;1/4 in.;2.15 oz.;18;5.5;0.4572;0.305555556;61;0.061;0.0839;0.0284
20x13E;LP20013E;Thin Electric, Multi Rotor (Electric Only);17.33;1.25 in.;0.51 in.;1/4 in.;3.46 oz.;20;13;0.508;0.65;98;0.098;0.0936;0.0407
27x13E;LP27013E;Thin Electric, Multi Rotor (Electric Only);43.47;1.75 in.;0.61 in.;5/16 in.;8.18 oz.;27;13;0.6858;0.481481481;232;0.232;0.0871;0.0316
