TYPE;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Weight_g;Max_burst_current_A;Volume_mm3;Energy_density_Wh_kg;Imax_A;Pmax_W_kg;Pvol_Wh_m3;Energy_J
ProLiteX;TP3400-3SPX25;11.1;3400;25;50;252;170;110295;149.7619048;170;7488.095238;342173.2626;135864
ProLiteX;TP3400-4SPX25;14.8;3400;25;50;326;170;150930;154.3558282;170;7717.791411;333399.5892;181152
ProLiteX;TP3400-5SPX25;18.5;3400;25;50;407;170;185760;154.5454545;170;7727.272727;338608.9578;226440
ProLiteX;TP3400-6SPX25;22.2;3400;25;50;478;170;220590;157.9079498;170;7895.39749;342173.2626;271728
ProLiteX;TP3400-6SPX25L;22.2;3400;25;50;488;170;221407;154.6721311;170;7733.606557;340910.6306;271728
ProLiteX;TP3400-7SPX25;25.9;3400;25;50;546;170;255420;161.2820513;170;8064.102564;344765.4843;317016
ProLiteX;TP3400-8SPX25;29.6;3400;25;50;611;170;290250;164.7135843;170;8235.679214;346735.5728;362304
ProLiteX;TP3400-8SPX25L;29.6;3400;25;50;621;170;302978;162.0611916;170;8103.059581;332169.3324;362304
ProLiteX;TP4000-2SPX25;7.4;4000;25;50;156;200;79560;189.7435897;200;9487.179487;372046.2544;106560
ProLiteX;TP4000-3SPX25;11.1;4000;25;50;269;200;111384;165.0557621;200;8252.788104;398620.9869;159840
ProLiteX;TP4000-4SPX25;14.8;4000;25;50;356;200;148512;166.2921348;200;8314.606742;398620.9869;213120
ProLiteX;TP4000-5SPX25;18.5;4000;25;50;435;200;185640;170.1149425;200;8505.747126;398620.9869;266400
ProLiteX;TP4000-6SPX25L;22.2;4000;25;50;536;200;222768;165.6716418;200;8283.58209;398620.9869;319680
ProLiteX;TP4000-7SPX25;25.9;4000;25;50;614;200;259896;168.7296417;200;8436.482085;398620.9869;372960
ProLiteX;TP4000-8SPX25;29.6;4000;25;50;702;200;297024;168.6609687;200;8433.048433;398620.9869;426240
ProLiteX;TP4000-8SPX25L;29.6;4000;25;50;712;200;297024;166.2921348;200;8314.606742;398620.9869;426240
ProLiteX;TP4000-9SPX25;33.3;4000;25;50;790;200;328848;168.6075949;200;8430.379747;405050.3576;479520
ProLiteX;TP4000-10SPX25;37;4000;25;50;877;200;371280;168.7571266;200;8437.856328;398620.9869;532800
ProLiteX;TP4000-10SPX25L;37;4000;25;50;887;200;371280;166.854566;200;8342.728298;398620.9869;532800
ProLiteX;TP4000-6SPX25;22.2;4000;25;50;536;200;222768;165.6716418;200;8283.58209;398620.9869;319680
