;TYPE;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Weight_g;Max_burst_current_A;Volume_mm3;Energy_density_Wh_kg;Imax [A];Pmax_W_kg;Pvol_Wh_m3;Energy_J;Dominated
72;ProLiteX;TP4400-2SPX25;7.4;4400;25;50;205;220.0;93568.0;158.82926830000002;220.0;7941.463415;347982.2161;117216.0;0
76;ProLiteX;TP4400-6SPX25;22.2;4400;25;50;601;220.0;280704.0;162.52911809999998;220.0;8126.455907;347982.2161;351648.0;0
77;ProLiteX;TP4400-7SPX25;25.9;4400;25;50;701;220.0;321640.0;162.5677603;220.0;8128.388017;354309.1655;410256.0;0
81;ProLiteX;TP4400-10SPX25;37.0;4400;25;50;994;220.0;456144.0;163.78269619999998;220.0;8189.134809;356904.8371;586080.0;0
83;ProLiteX;TP5000-3SPX25;11.1;5000;25;50;349;250.0;163744.0;159.02578799999998;250.0;7951.289398000001;338943.717;199800.0;0
84;ProLiteX;TP5000-4SPX25;14.8;5000;25;50;465;250.0;216376.0;159.13978490000002;250.0;7956.9892469999995;341997.26399999997;266400.0;0
85;ProLiteX;TP5000-5SPX25;18.5;5000;25;50;574;250.0;269008.0;161.1498258;250.0;8057.4912890000005;343855.9448;333000.0;0
90;ProLiteX;TP5000-9SPX25;33.3;5000;25;50;1046;250.0;479536.0;159.1778203;250.0;7958.8910129999995;347210.6369;599400.0;0
91;ProLiteX;TP5000-10SPX25;37.0;5000;25;50;1162;250.0;538016.0;159.2082616;250.0;7960.413081000001;343855.9448;666000.0;0
92;ProLiteX;TP5000-10SPX25L;37.0;5000;25;50;1172;250.0;538016.0;157.8498294;250.0;7892.491468000001;343855.9448;666000.0;0
94;ProLiteX;TP6000-3SPX25;11.1;6000;25;50;372;300.0;176904.0;179.0322581;300.0;8951.612903;376475.3765;239760.0;0
95;ProLiteX;TP6000-4SPX25;14.8;6000;25;50;490;300.0;229320.0;181.22448980000001;300.0;9061.22449;387231.8158;319680.0;0
96;ProLiteX;TP6000-5SPX25;18.5;6000;25;50;638;300.0;281736.0;173.98119119999998;300.0;8699.059561;393985.8591;399600.0;0
97;ProLiteX;TP6000-6SPX25;22.2;6000;25;50;743;300.0;340704.0;179.27321669999998;300.0;8963.660834;390955.1986;479520.0;0
99;ProLiteX;TP6800-3SPX25;11.1;6800;25;50;484;340.0;225492.0;155.95041319999999;340.0;7797.520661;334734.7134;271728.0;0
102;ProLiteX;TP6800-6SPX25;22.2;6800;25;50;907;340.0;445050.0;166.4388093;340.0;8321.940462999999;339197.8429;543456.0;0
103;ProLiteX;TP8000-2SPX25;7.4;8000;25;50;350;400.0;167356.0;169.1428571;400.0;8457.142856999999;353736.94399999996;213120.0;0
104;ProLiteX;TP8000-3SPX25;11.1;8000;25;50;526;400.0;251034.0;168.8212928;400.0;8441.064639;353736.94399999996;319680.0;0
105;ProLiteX;TP8000-4SPX25;14.8;8000;25;50;701;400.0;334712.0;168.90156919999998;400.0;8445.078459;353736.94399999996;426240.0;0
106;ProLiteX;TP8000-5SPX25;18.5;8000;25;50;859;400.0;418390.0;172.2933644;400.0;8614.668219;353736.94399999996;532800.0;0
107;RAMPAGE;TP325-1SR70J;3.7;325;70;140;12;45.5;5625.0;100.20833329999999;45.5;14029.166669999999;213777.7778;4329.0;0
108;RAMPAGE;TP325-2SR70B;7.4;325;70;140;23;45.5;12375.0;104.56521740000001;45.5;14639.130430000001;194343.4343;8658.0;0
