;Voltage_V;Capacity_mAh;Weight_g;Energy_density_Wh_kg;Imax [A];Pmax_W_kg;Volume_mm3
51;3.7;650;24;100.2083333;91.0;14029.16667;11250
52;7.4;650;46;104.5652174;91.0;14639.13043;24750
0;14.8;11100;720;228.1666667;999.0;20535.0;451656
1;7.4;1500;90;123.3333333;75.0;6166.666667;42930
2;11.1;1500;132;126.1363636;75.0;6306.818182;62010
3;7.4;2250;117;142.3076923;112.5;7115.384615;61380
4;11.1;2250;171;146.0526316;112.5;7302.631579;92070
5;7.4;2730;141;143.2765957;136.5;7163.829787;69225
6;7.4;4050;183;163.7704918;202.5;8188.52459;90168
7;11.1;4050;282;159.4148936;202.5;7970.744681;138720
8;7.4;4050;192;156.09375;202.5;7804.6875;90168
9;11.1;4050;285;157.7368421;202.5;7886.842105;138720
10;11.1;6600;453;161.7218543;330.0;8086.092715;224910
11;14.8;6600;591;165.2791878;330.0;8263.959391;289170
12;7.4;8400;369;168.4552846;420.0;8422.764228;176868
13;11.1;8400;543;171.7127072;420.0;8585.635359;249696
14;11.1;8400;543;171.7127072;420.0;8585.635359;249696
15;11.1;8400;543;171.7127072;420.0;8585.635359;249696
16;14.8;8400;702;177.0940171;420.0;8854.700855;332928
17;22.2;8400;1053;177.0940171;420.0;8854.700855;499392
18;22.2;10200;1434;157.9079498;510.0;7895.39749;661770
19;22.2;10200;1464;154.6721311;510.0;7733.606557;664221
20;29.6;10200;1833;164.7135843;510.0;8235.679214;870750
21;7.4;12000;468;189.7435897;600.0;9487.179487;238680
22;18.5;12000;1305;170.1149425;600.0;8505.747126;556920
23;22.2;12000;1608;165.6716418;600.0;8283.58209;668304
24;25.9;12000;1842;168.7296417;600.0;8436.482085;779688
25;29.6;12000;2106;168.6609687;600.0;8433.048433;891072
26;29.6;12000;2136;166.2921348;600.0;8314.606742;891072
27;33.3;12000;2370;168.6075949;600.0;8430.379747;986544
28;37.0;12000;2631;168.7571266;600.0;8437.856328;1113840
29;37.0;12000;2661;166.854566;600.0;8342.728298;1113840
30;22.2;12000;1608;165.6716418;600.0;8283.58209;668304
31;7.4;13200;615;158.8292683;660.0;7941.463415;280704
32;22.2;13200;1803;162.5291181;660.0;8126.455907;842112
33;25.9;13200;2103;162.5677603;660.0;8128.388017;964920
34;37.0;13200;2982;163.7826962;660.0;8189.134809;1368432
35;11.1;15000;1047;159.025788;750.0;7951.289398;491232
36;14.8;15000;1395;159.1397849;750.0;7956.989247;649128
37;18.5;15000;1722;161.1498258;750.0;8057.491289;807024
38;33.3;15000;3138;159.1778203;750.0;7958.891013;1438608
39;37.0;15000;3486;159.2082616;750.0;7960.413081;1614048
40;37.0;15000;3516;157.8498294;750.0;7892.491468;1614048
41;11.1;18000;1116;179.0322581;900.0;8951.612903;530712
42;14.8;18000;1470;181.2244898;900.0;9061.22449;687960
43;18.5;18000;1914;173.9811912;900.0;8699.059561;845208
44;22.2;18000;2229;179.2732167;900.0;8963.660834;1022112
45;11.1;20400;1452;155.9504132;1020.0;7797.520661;676476
46;22.2;20400;2721;166.4388093;1020.0;8321.940463;1335150
47;7.4;24000;1050;169.1428571;1200.0;8457.142857;502068
48;11.1;24000;1578;168.8212928;1200.0;8441.064639;753102
49;14.8;24000;2103;168.9015692;1200.0;8445.078459;1004136
50;18.5;24000;2577;172.2933644;1200.0;8614.668219;1255170
51;3.7;975;36;100.2083333;136.5;14029.16667;16875
52;7.4;975;69;104.5652174;136.5;14639.13043;37125
0;14.8;14800;960;228.1666667;1332.0;20535.0;602208
1;7.4;2000;120;123.3333333;100.0;6166.666667;57240
2;11.1;2000;176;126.1363636;100.0;6306.818182;82680
3;7.4;3000;156;142.3076923;150.0;7115.384615;81840
4;11.1;3000;228;146.0526316;150.0;7302.631579;122760
5;7.4;3640;188;143.2765957;182.0;7163.829787;92300
6;7.4;5400;244;163.7704918;270.0;8188.52459;120224
7;11.1;5400;376;159.4148936;270.0;7970.744681;184960
8;7.4;5400;256;156.09375;270.0;7804.6875;120224
9;11.1;5400;380;157.7368421;270.0;7886.842105;184960
10;11.1;8800;604;161.7218543;440.0;8086.092715;299880
11;14.8;8800;788;165.2791878;440.0;8263.959391;385560
12;7.4;11200;492;168.4552846;560.0;8422.764228;235824
13;11.1;11200;724;171.7127072;560.0;8585.635359;332928
14;11.1;11200;724;171.7127072;560.0;8585.635359;332928
15;11.1;11200;724;171.7127072;560.0;8585.635359;332928
16;14.8;11200;936;177.0940171;560.0;8854.700855;443904
17;22.2;11200;1404;177.0940171;560.0;8854.700855;665856
18;22.2;13600;1912;157.9079498;680.0;7895.39749;882360
19;22.2;13600;1952;154.6721311;680.0;7733.606557;885628
20;29.6;13600;2444;164.7135843;680.0;8235.679214;1161000
21;7.4;16000;624;189.7435897;800.0;9487.179487;318240
22;18.5;16000;1740;170.1149425;800.0;8505.747126;742560
23;22.2;16000;2144;165.6716418;800.0;8283.58209;891072
24;25.9;16000;2456;168.7296417;800.0;8436.482085;1039584
25;29.6;16000;2808;168.6609687;800.0;8433.048433;1188096
26;29.6;16000;2848;166.2921348;800.0;8314.606742;1188096
27;33.3;16000;3160;168.6075949;800.0;8430.379747;1315392
28;37.0;16000;3508;168.7571266;800.0;8437.856328;1485120
29;37.0;16000;3548;166.854566;800.0;8342.728298;1485120
30;22.2;16000;2144;165.6716418;800.0;8283.58209;891072
31;7.4;17600;820;158.8292683;880.0;7941.463415;374272
32;22.2;17600;2404;162.5291181;880.0;8126.455907;1122816
33;25.9;17600;2804;162.5677603;880.0;8128.388017;1286560
34;37.0;17600;3976;163.7826962;880.0;8189.134809;1824576
35;11.1;20000;1396;159.025788;1000.0;7951.289398;654976
36;14.8;20000;1860;159.1397849;1000.0;7956.989247;865504
37;18.5;20000;2296;161.1498258;1000.0;8057.491289;1076032
38;33.3;20000;4184;159.1778203;1000.0;7958.891013;1918144
39;37.0;20000;4648;159.2082616;1000.0;7960.413081;2152064
40;37.0;20000;4688;157.8498294;1000.0;7892.491468;2152064
41;11.1;24000;1488;179.0322581;1200.0;8951.612903;707616
42;14.8;24000;1960;181.2244898;1200.0;9061.22449;917280
43;18.5;24000;2552;173.9811912;1200.0;8699.059561;1126944
44;22.2;24000;2972;179.2732167;1200.0;8963.660834;1362816
45;11.1;27200;1936;155.9504132;1360.0;7797.520661;901968
46;22.2;27200;3628;166.4388093;1360.0;8321.940463;1780200
47;7.4;32000;1400;169.1428571;1600.0;8457.142857;669424
48;11.1;32000;2104;168.8212928;1600.0;8441.064639;1004136
49;14.8;32000;2804;168.9015692;1600.0;8445.078459;1338848
50;18.5;32000;3436;172.2933644;1600.0;8614.668219;1673560
51;3.7;1300;48;100.2083333;182.0;14029.16667;22500
52;7.4;1300;92;104.5652174;182.0;14639.13043;49500
0;14.8;18500;1200;228.1666667;1665.0;20535.0;752760
1;7.4;2500;150;123.3333333;125.0;6166.666667;71550
2;11.1;2500;220;126.1363636;125.0;6306.818182;103350
3;7.4;3750;195;142.3076923;187.5;7115.384615;102300
4;11.1;3750;285;146.0526316;187.5;7302.631579;153450
5;7.4;4550;235;143.2765957;227.5;7163.829787;115375
6;7.4;6750;305;163.7704918;337.5;8188.52459;150280
7;11.1;6750;470;159.4148936;337.5;7970.744681;231200
8;7.4;6750;320;156.09375;337.5;7804.6875;150280
9;11.1;6750;475;157.7368421;337.5;7886.842105;231200
10;11.1;11000;755;161.7218543;550.0;8086.092715;374850
11;14.8;11000;985;165.2791878;550.0;8263.959391;481950
12;7.4;14000;615;168.4552846;700.0;8422.764228;294780
13;11.1;14000;905;171.7127072;700.0;8585.635359;416160
14;11.1;14000;905;171.7127072;700.0;8585.635359;416160
15;11.1;14000;905;171.7127072;700.0;8585.635359;416160
16;14.8;14000;1170;177.0940171;700.0;8854.700855;554880
17;22.2;14000;1755;177.0940171;700.0;8854.700855;832320
18;22.2;17000;2390;157.9079498;850.0;7895.39749;1102950
19;22.2;17000;2440;154.6721311;850.0;7733.606557;1107035
20;29.6;17000;3055;164.7135843;850.0;8235.679214;1451250
21;7.4;20000;780;189.7435897;1000.0;9487.179487;397800
22;18.5;20000;2175;170.1149425;1000.0;8505.747126;928200
23;22.2;20000;2680;165.6716418;1000.0;8283.58209;1113840
24;25.9;20000;3070;168.7296417;1000.0;8436.482085;1299480
25;29.6;20000;3510;168.6609687;1000.0;8433.048433;1485120
26;29.6;20000;3560;166.2921348;1000.0;8314.606742;1485120
27;33.3;20000;3950;168.6075949;1000.0;8430.379747;1644240
28;37.0;20000;4385;168.7571266;1000.0;8437.856328;1856400
29;37.0;20000;4435;166.854566;1000.0;8342.728298;1856400
30;22.2;20000;2680;165.6716418;1000.0;8283.58209;1113840
